"","...1","name","Season","visit_year","total","Acres","Year","County or Counties","region"
"308",311,"George H Crosby Manitou State Park",NA,NA,NA,6200,1955,"Lake","Arrowhead"
"309",312,"Glacial Lakes State Park","Fall",2018,7903,1857,1963,"Pope","Heartland"
"310",313,"Glacial Lakes State Park","Fall",2019,5848,1857,1963,"Pope","Heartland"
"311",314,"Glacial Lakes State Park","Fall",2020,7035,1857,1963,"Pope","Heartland"
"312",315,"Glacial Lakes State Park","Fall",2021,5366,1857,1963,"Pope","Heartland"
"313",316,"Glacial Lakes State Park","Spring",2018,4233,1857,1963,"Pope","Heartland"
"314",317,"Glacial Lakes State Park","Spring",2019,3957,1857,1963,"Pope","Heartland"
"315",318,"Glacial Lakes State Park","Spring",2020,3462,1857,1963,"Pope","Heartland"
"316",319,"Glacial Lakes State Park","Spring",2021,5331,1857,1963,"Pope","Heartland"
"317",320,"Glacial Lakes State Park","Summer",2018,17124,1857,1963,"Pope","Heartland"
"318",321,"Glacial Lakes State Park","Summer",2019,15072,1857,1963,"Pope","Heartland"
"319",322,"Glacial Lakes State Park","Summer",2020,11526,1857,1963,"Pope","Heartland"
"320",323,"Glacial Lakes State Park","Summer",2021,10796,1857,1963,"Pope","Heartland"
"321",324,"Glacial Lakes State Park","Winter",2018,2397,1857,1963,"Pope","Heartland"
"322",325,"Glacial Lakes State Park","Winter",2019,892,1857,1963,"Pope","Heartland"
"323",326,"Glacial Lakes State Park","Winter",2020,904,1857,1963,"Pope","Heartland"
"324",327,"Glacial Lakes State Park","Winter",2021,2145,1857,1963,"Pope","Heartland"
"325",328,"Glacial Lakes State Park","Winter",2022,430,1857,1963,"Pope","Heartland"
"326",329,"Glendalough State Park","Fall",2018,7563,1924,1991,"Otter Tail","Heartland"
"327",330,"Glendalough State Park","Fall",2019,8454,1924,1991,"Otter Tail","Heartland"
"328",331,"Glendalough State Park","Fall",2020,11498,1924,1991,"Otter Tail","Heartland"
"329",332,"Glendalough State Park","Fall",2021,9982,1924,1991,"Otter Tail","Heartland"
"330",333,"Glendalough State Park","Spring",2018,9012,1924,1991,"Otter Tail","Heartland"
"331",334,"Glendalough State Park","Spring",2019,7189,1924,1991,"Otter Tail","Heartland"
"332",335,"Glendalough State Park","Spring",2020,13910,1924,1991,"Otter Tail","Heartland"
"333",336,"Glendalough State Park","Spring",2021,11450,1924,1991,"Otter Tail","Heartland"
"334",337,"Glendalough State Park","Summer",2018,32653,1924,1991,"Otter Tail","Heartland"
"335",338,"Glendalough State Park","Summer",2019,32383,1924,1991,"Otter Tail","Heartland"
"336",339,"Glendalough State Park","Summer",2020,41069,1924,1991,"Otter Tail","Heartland"
"337",340,"Glendalough State Park","Summer",2021,32285,1924,1991,"Otter Tail","Heartland"
"338",341,"Glendalough State Park","Winter",2018,3955,1924,1991,"Otter Tail","Heartland"
"339",342,"Glendalough State Park","Winter",2019,3436,1924,1991,"Otter Tail","Heartland"
"340",343,"Glendalough State Park","Winter",2020,4654,1924,1991,"Otter Tail","Heartland"
"341",344,"Glendalough State Park","Winter",2021,2950,1924,1991,"Otter Tail","Heartland"
"342",345,"Glendalough State Park","Winter",2022,637,1924,1991,"Otter Tail","Heartland"
"343",346,"Gooseberry Falls State Park","Fall",2018,110398,1741,1937,"Lake","Arrowhead"
"344",347,"Gooseberry Falls State Park","Fall",2019,103226,1741,1937,"Lake","Arrowhead"
"345",348,"Gooseberry Falls State Park","Fall",2020,113101,1741,1937,"Lake","Arrowhead"
"346",349,"Gooseberry Falls State Park","Fall",2021,90238,1741,1937,"Lake","Arrowhead"
"347",350,"Gooseberry Falls State Park","Spring",2018,105315,1741,1937,"Lake","Arrowhead"
"348",351,"Gooseberry Falls State Park","Spring",2019,86620,1741,1937,"Lake","Arrowhead"
"349",352,"Gooseberry Falls State Park","Spring",2020,59442,1741,1937,"Lake","Arrowhead"
"350",353,"Gooseberry Falls State Park","Spring",2021,106361,1741,1937,"Lake","Arrowhead"
"351",354,"Gooseberry Falls State Park","Summer",2018,239290,1741,1937,"Lake","Arrowhead"
"352",355,"Gooseberry Falls State Park","Summer",2019,237708,1741,1937,"Lake","Arrowhead"
"353",356,"Gooseberry Falls State Park","Summer",2020,258960,1741,1937,"Lake","Arrowhead"
"354",357,"Gooseberry Falls State Park","Summer",2021,186493,1741,1937,"Lake","Arrowhead"
"355",358,"Gooseberry Falls State Park","Winter",2018,57318,1741,1937,"Lake","Arrowhead"
"356",359,"Gooseberry Falls State Park","Winter",2019,35653,1741,1937,"Lake","Arrowhead"
"357",360,"Gooseberry Falls State Park","Winter",2020,35766,1741,1937,"Lake","Arrowhead"
"358",361,"Gooseberry Falls State Park","Winter",2021,52888,1741,1937,"Lake","Arrowhead"
"359",362,"Gooseberry Falls State Park","Winter",2022,13635,1741,1937,"Lake","Arrowhead"
"360",363,"Grand Portage State Park","Fall",2018,3161,278,1989,"Cook","Arrowhead"
"361",364,"Grand Portage State Park","Fall",2019,7751,278,1989,"Cook","Arrowhead"
"362",365,"Grand Portage State Park","Fall",2020,5605,278,1989,"Cook","Arrowhead"
"363",366,"Grand Portage State Park","Fall",2021,4354,278,1989,"Cook","Arrowhead"
"364",367,"Grand Portage State Park","Spring",2018,2952,278,1989,"Cook","Arrowhead"
"365",368,"Grand Portage State Park","Spring",2019,3914,278,1989,"Cook","Arrowhead"
"366",369,"Grand Portage State Park","Spring",2020,1351,278,1989,"Cook","Arrowhead"
"367",370,"Grand Portage State Park","Spring",2021,2667,278,1989,"Cook","Arrowhead"
"368",371,"Grand Portage State Park","Summer",2018,7452,278,1989,"Cook","Arrowhead"
"369",372,"Grand Portage State Park","Summer",2019,12503,278,1989,"Cook","Arrowhead"
"370",373,"Grand Portage State Park","Summer",2020,12036,278,1989,"Cook","Arrowhead"
"371",374,"Grand Portage State Park","Summer",2021,6321,278,1989,"Cook","Arrowhead"
"372",375,"Grand Portage State Park","Winter",2018,2240,278,1989,"Cook","Arrowhead"
"373",376,"Grand Portage State Park","Winter",2019,1426,278,1989,"Cook","Arrowhead"
"374",377,"Grand Portage State Park","Winter",2020,1388,278,1989,"Cook","Arrowhead"
"375",378,"Grand Portage State Park","Winter",2021,937,278,1989,"Cook","Arrowhead"
"376",379,"Grand Portage State Park","Winter",2022,336,278,1989,"Cook","Arrowhead"
"377",380,"Great River Bluffs State Park","Fall",2018,10362,2122,1963,"Winona","Southern"
"378",381,"Great River Bluffs State Park","Fall",2019,7565,2122,1963,"Winona","Southern"
"379",382,"Great River Bluffs State Park","Fall",2020,14126,2122,1963,"Winona","Southern"
"380",383,"Great River Bluffs State Park","Fall",2021,7633,2122,1963,"Winona","Southern"
"381",384,"Great River Bluffs State Park","Spring",2018,4641,2122,1963,"Winona","Southern"
"382",385,"Great River Bluffs State Park","Spring",2019,4318,2122,1963,"Winona","Southern"
"383",386,"Great River Bluffs State Park","Spring",2020,9760,2122,1963,"Winona","Southern"
"384",387,"Great River Bluffs State Park","Spring",2021,6858,2122,1963,"Winona","Southern"
"385",388,"Great River Bluffs State Park","Summer",2018,15503,2122,1963,"Winona","Southern"
"386",389,"Great River Bluffs State Park","Summer",2019,9633,2122,1963,"Winona","Southern"
"387",390,"Great River Bluffs State Park","Summer",2020,17431,2122,1963,"Winona","Southern"
"388",391,"Great River Bluffs State Park","Summer",2021,9128,2122,1963,"Winona","Southern"
"389",392,"Great River Bluffs State Park","Winter",2018,1751,2122,1963,"Winona","Southern"
"390",393,"Great River Bluffs State Park","Winter",2019,2178,2122,1963,"Winona","Southern"
"391",394,"Great River Bluffs State Park","Winter",2020,1620,2122,1963,"Winona","Southern"
"392",395,"Great River Bluffs State Park","Winter",2021,3555,2122,1963,"Winona","Southern"
"393",396,"Great River Bluffs State Park","Winter",2022,298,2122,1963,"Winona","Southern"
"394",398,"Hayes Lake State Park","Fall",2018,1542,2118,1967,"Roseau","Heartland"
"395",399,"Hayes Lake State Park","Fall",2019,787,2118,1967,"Roseau","Heartland"
"396",400,"Hayes Lake State Park","Fall",2020,1360,2118,1967,"Roseau","Heartland"
"397",401,"Hayes Lake State Park","Fall",2021,1450,2118,1967,"Roseau","Heartland"
"398",402,"Hayes Lake State Park","Spring",2018,1896,2118,1967,"Roseau","Heartland"
"399",403,"Hayes Lake State Park","Spring",2019,1548,2118,1967,"Roseau","Heartland"
"400",404,"Hayes Lake State Park","Spring",2020,940,2118,1967,"Roseau","Heartland"
"401",405,"Hayes Lake State Park","Spring",2021,1187,2118,1967,"Roseau","Heartland"
"402",406,"Hayes Lake State Park","Summer",2018,8632,2118,1967,"Roseau","Heartland"
"403",407,"Hayes Lake State Park","Summer",2019,5357,2118,1967,"Roseau","Heartland"
"404",408,"Hayes Lake State Park","Summer",2020,5179,2118,1967,"Roseau","Heartland"
"405",409,"Hayes Lake State Park","Summer",2021,4944,2118,1967,"Roseau","Heartland"
"406",410,"Hayes Lake State Park","Winter",2018,1394,2118,1967,"Roseau","Heartland"
"407",411,"Hayes Lake State Park","Winter",2019,1074,2118,1967,"Roseau","Heartland"
"408",412,"Hayes Lake State Park","Winter",2020,699,2118,1967,"Roseau","Heartland"
"409",413,"Hayes Lake State Park","Winter",2021,993,2118,1967,"Roseau","Heartland"
"410",414,"Hayes Lake State Park","Winter",2022,398,2118,1967,"Roseau","Heartland"
"411",415,"Interstate State Park","Fall",2018,27756,288,1895,"Chisago","Metro"
"412",416,"Interstate State Park","Fall",2019,35635,288,1895,"Chisago","Metro"
"413",417,"Interstate State Park","Fall",2020,49938,288,1895,"Chisago","Metro"
"414",418,"Interstate State Park","Fall",2021,30894,288,1895,"Chisago","Metro"
"415",419,"Interstate State Park","Spring",2018,18699,288,1895,"Chisago","Metro"
"416",420,"Interstate State Park","Spring",2019,27133,288,1895,"Chisago","Metro"
"417",421,"Interstate State Park","Spring",2020,62890,288,1895,"Chisago","Metro"
"418",422,"Interstate State Park","Spring",2021,34352,288,1895,"Chisago","Metro"
"419",423,"Interstate State Park","Summer",2018,67449,288,1895,"Chisago","Metro"
"420",424,"Interstate State Park","Summer",2019,91602,288,1895,"Chisago","Metro"
"421",425,"Interstate State Park","Summer",2020,119741,288,1895,"Chisago","Metro"
"422",426,"Interstate State Park","Summer",2021,66406,288,1895,"Chisago","Metro"
"423",427,"Interstate State Park","Winter",2018,2370,288,1895,"Chisago","Metro"
"424",428,"Interstate State Park","Winter",2019,1625,288,1895,"Chisago","Metro"
"425",429,"Interstate State Park","Winter",2020,1860,288,1895,"Chisago","Metro"
"426",430,"Interstate State Park","Winter",2021,4425,288,1895,"Chisago","Metro"
"427",431,"Interstate State Park","Winter",2022,368,288,1895,"Chisago","Metro"
"428",433,"Itasca State Park","Fall",2018,167904,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"429",434,"Itasca State Park","Fall",2019,133592,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"430",435,"Itasca State Park","Fall",2020,112264,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"431",436,"Itasca State Park","Fall",2021,105231,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"432",437,"Itasca State Park","Spring",2018,87574,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"433",438,"Itasca State Park","Spring",2019,65460,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"434",439,"Itasca State Park","Spring",2020,48161,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"435",440,"Itasca State Park","Spring",2021,85975,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"436",441,"Itasca State Park","Summer",2018,448039,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"437",442,"Itasca State Park","Summer",2019,421775,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"438",443,"Itasca State Park","Summer",2020,348496,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"439",444,"Itasca State Park","Summer",2021,336599,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"440",445,"Itasca State Park","Winter",2018,23191,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"441",446,"Itasca State Park","Winter",2019,37763,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"442",447,"Itasca State Park","Winter",2020,33274,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"443",448,"Itasca State Park","Winter",2021,23612,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"444",449,"Itasca State Park","Winter",2022,2968,30553,1891,"Hubbard, Clearwater, and Becker","Heartland"
"445",450,"Jay Cooke State Park","Fall",2018,47659,8125,1915,"Carlton","Arrowhead"
"446",451,"Jay Cooke State Park","Fall",2019,36609,8125,1915,"Carlton","Arrowhead"
"447",452,"Jay Cooke State Park","Fall",2020,59726,8125,1915,"Carlton","Arrowhead"
"448",453,"Jay Cooke State Park","Fall",2021,36190,8125,1915,"Carlton","Arrowhead"
"449",454,"Jay Cooke State Park","Spring",2018,32009,8125,1915,"Carlton","Arrowhead"
"450",455,"Jay Cooke State Park","Spring",2019,31973,8125,1915,"Carlton","Arrowhead"
"451",456,"Jay Cooke State Park","Spring",2020,49876,8125,1915,"Carlton","Arrowhead"
"452",457,"Jay Cooke State Park","Spring",2021,40998,8125,1915,"Carlton","Arrowhead"
"453",458,"Jay Cooke State Park","Summer",2018,89031,8125,1915,"Carlton","Arrowhead"
"454",459,"Jay Cooke State Park","Summer",2019,77699,8125,1915,"Carlton","Arrowhead"
"455",460,"Jay Cooke State Park","Summer",2020,132721,8125,1915,"Carlton","Arrowhead"
"456",461,"Jay Cooke State Park","Summer",2021,79036,8125,1915,"Carlton","Arrowhead"
"457",462,"Jay Cooke State Park","Winter",2018,14754,8125,1915,"Carlton","Arrowhead"
"458",463,"Jay Cooke State Park","Winter",2019,14261,8125,1915,"Carlton","Arrowhead"
"459",464,"Jay Cooke State Park","Winter",2020,10860,8125,1915,"Carlton","Arrowhead"
"460",465,"Jay Cooke State Park","Winter",2021,17504,8125,1915,"Carlton","Arrowhead"
"461",466,"Jay Cooke State Park","Winter",2022,2653,8125,1915,"Carlton","Arrowhead"
"462",467,"John A Latsch State Park","Fall",2018,1337,409,1925,"Winona","Southern"
"463",468,"John A Latsch State Park","Fall",2019,1695,409,1925,"Winona","Southern"
"464",469,"John A Latsch State Park","Fall",2020,1780,409,1925,"Winona","Southern"
"465",470,"John A Latsch State Park","Fall",2021,1299,409,1925,"Winona","Southern"
"466",471,"John A Latsch State Park","Spring",2018,973,409,1925,"Winona","Southern"
"467",472,"John A Latsch State Park","Spring",2019,1209,409,1925,"Winona","Southern"
"468",473,"John A Latsch State Park","Spring",2020,2785,409,1925,"Winona","Southern"
"469",474,"John A Latsch State Park","Spring",2021,1558,409,1925,"Winona","Southern"
"470",475,"John A Latsch State Park","Summer",2018,1637,409,1925,"Winona","Southern"
"471",476,"John A Latsch State Park","Summer",2019,1934,409,1925,"Winona","Southern"
"472",477,"John A Latsch State Park","Summer",2020,3187,409,1925,"Winona","Southern"
"473",478,"John A Latsch State Park","Summer",2021,1439,409,1925,"Winona","Southern"
"474",479,"John A Latsch State Park","Winter",2018,1086,409,1925,"Winona","Southern"
"475",480,"John A Latsch State Park","Winter",2019,563,409,1925,"Winona","Southern"
"476",481,"John A Latsch State Park","Winter",2020,504,409,1925,"Winona","Southern"
"477",482,"John A Latsch State Park","Winter",2021,535,409,1925,"Winona","Southern"
"478",483,"John A Latsch State Park","Winter",2022,94,409,1925,"Winona","Southern"
"479",484,"Judge C R Magney State Park","Fall",2018,8878,4323,1957,"Cook","Arrowhead"
"480",485,"Judge C R Magney State Park","Fall",2019,8729,4323,1957,"Cook","Arrowhead"
"481",486,"Judge C R Magney State Park","Fall",2020,8314,4323,1957,"Cook","Arrowhead"
"482",487,"Judge C R Magney State Park","Fall",2021,7201,4323,1957,"Cook","Arrowhead"
"483",488,"Judge C R Magney State Park","Spring",2018,5061,4323,1957,"Cook","Arrowhead"
"484",489,"Judge C R Magney State Park","Spring",2019,4489,4323,1957,"Cook","Arrowhead"
"485",490,"Judge C R Magney State Park","Spring",2020,3563,4323,1957,"Cook","Arrowhead"
"486",491,"Judge C R Magney State Park","Spring",2021,8193,4323,1957,"Cook","Arrowhead"
"487",492,"Judge C R Magney State Park","Summer",2018,21143,4323,1957,"Cook","Arrowhead"
"488",493,"Judge C R Magney State Park","Summer",2019,16211,4323,1957,"Cook","Arrowhead"
"489",494,"Judge C R Magney State Park","Summer",2020,15634,4323,1957,"Cook","Arrowhead"
"490",495,"Judge C R Magney State Park","Summer",2021,11251,4323,1957,"Cook","Arrowhead"
"491",496,"Judge C R Magney State Park","Winter",2018,3537,4323,1957,"Cook","Arrowhead"
"492",497,"Judge C R Magney State Park","Winter",2019,2072,4323,1957,"Cook","Arrowhead"
"493",498,"Judge C R Magney State Park","Winter",2020,1007,4323,1957,"Cook","Arrowhead"
"494",499,"Judge C R Magney State Park","Winter",2021,1588,4323,1957,"Cook","Arrowhead"
"495",500,"Judge C R Magney State Park","Winter",2022,443,4323,1957,"Cook","Arrowhead"
"496",501,"Kilen Woods State Park","Fall",2018,4884,202,1945,"Jackson","Southern"
"497",502,"Kilen Woods State Park","Fall",2019,2729,202,1945,"Jackson","Southern"
"498",503,"Kilen Woods State Park","Fall",2020,2656,202,1945,"Jackson","Southern"
"499",504,"Kilen Woods State Park","Fall",2021,1852,202,1945,"Jackson","Southern"
"500",505,"Kilen Woods State Park","Spring",2018,1694,202,1945,"Jackson","Southern"
"501",506,"Kilen Woods State Park","Spring",2019,1446,202,1945,"Jackson","Southern"
"502",507,"Kilen Woods State Park","Spring",2020,2049,202,1945,"Jackson","Southern"
"503",508,"Kilen Woods State Park","Spring",2021,1529,202,1945,"Jackson","Southern"
"504",509,"Kilen Woods State Park","Summer",2018,3114,202,1945,"Jackson","Southern"
"505",510,"Kilen Woods State Park","Summer",2019,2330,202,1945,"Jackson","Southern"
"506",511,"Kilen Woods State Park","Summer",2020,2999,202,1945,"Jackson","Southern"
"507",512,"Kilen Woods State Park","Summer",2021,3012,202,1945,"Jackson","Southern"
"508",513,"Kilen Woods State Park","Winter",2018,1260,202,1945,"Jackson","Southern"
"509",514,"Kilen Woods State Park","Winter",2019,657,202,1945,"Jackson","Southern"
"510",515,"Kilen Woods State Park","Winter",2020,516,202,1945,"Jackson","Southern"
"511",516,"Kilen Woods State Park","Winter",2021,1100,202,1945,"Jackson","Southern"
"512",517,"Kilen Woods State Park","Winter",2022,87,202,1945,"Jackson","Southern"
"513",519,"Lac qui Parle State Park","Fall",2018,6694,897,1959,"Lac qui Parle and Chippewa","Southern"
"514",520,"Lac qui Parle State Park","Fall",2019,5148,897,1959,"Lac qui Parle and Chippewa","Southern"
"515",521,"Lac qui Parle State Park","Fall",2020,4002,897,1959,"Lac qui Parle and Chippewa","Southern"
"516",522,"Lac qui Parle State Park","Fall",2021,2463,897,1959,"Lac qui Parle and Chippewa","Southern"
"517",523,"Lac qui Parle State Park","Spring",2018,4348,897,1959,"Lac qui Parle and Chippewa","Southern"
"518",524,"Lac qui Parle State Park","Spring",2019,3029,897,1959,"Lac qui Parle and Chippewa","Southern"
"519",525,"Lac qui Parle State Park","Spring",2020,2527,897,1959,"Lac qui Parle and Chippewa","Southern"
"520",526,"Lac qui Parle State Park","Spring",2021,2524,897,1959,"Lac qui Parle and Chippewa","Southern"
"521",527,"Lac qui Parle State Park","Summer",2018,15559,897,1959,"Lac qui Parle and Chippewa","Southern"
"522",528,"Lac qui Parle State Park","Summer",2019,11964,897,1959,"Lac qui Parle and Chippewa","Southern"
"523",529,"Lac qui Parle State Park","Summer",2020,12830,897,1959,"Lac qui Parle and Chippewa","Southern"
"524",530,"Lac qui Parle State Park","Summer",2021,11491,897,1959,"Lac qui Parle and Chippewa","Southern"
"525",531,"Lac qui Parle State Park","Winter",2018,1508,897,1959,"Lac qui Parle and Chippewa","Southern"
"526",532,"Lac qui Parle State Park","Winter",2019,1850,897,1959,"Lac qui Parle and Chippewa","Southern"
"527",533,"Lac qui Parle State Park","Winter",2020,1149,897,1959,"Lac qui Parle and Chippewa","Southern"
"528",534,"Lac qui Parle State Park","Winter",2021,997,897,1959,"Lac qui Parle and Chippewa","Southern"
"529",535,"Lac qui Parle State Park","Winter",2022,113,897,1959,"Lac qui Parle and Chippewa","Southern"
"530",536,"Lake Bemidji State Park","Fall",2018,13518,1653,1923,"Beltrami","Heartland"
"531",537,"Lake Bemidji State Park","Fall",2019,16709,1653,1923,"Beltrami","Heartland"
"532",538,"Lake Bemidji State Park","Fall",2020,16208,1653,1923,"Beltrami","Heartland"
"533",539,"Lake Bemidji State Park","Fall",2021,12124,1653,1923,"Beltrami","Heartland"
"534",540,"Lake Bemidji State Park","Spring",2018,15790,1653,1923,"Beltrami","Heartland"
"535",541,"Lake Bemidji State Park","Spring",2019,13177,1653,1923,"Beltrami","Heartland"
"536",542,"Lake Bemidji State Park","Spring",2020,11464,1653,1923,"Beltrami","Heartland"
"537",543,"Lake Bemidji State Park","Spring",2021,16273,1653,1923,"Beltrami","Heartland"
"538",544,"Lake Bemidji State Park","Summer",2018,75007,1653,1923,"Beltrami","Heartland"
"539",545,"Lake Bemidji State Park","Summer",2019,83056,1653,1923,"Beltrami","Heartland"
"540",546,"Lake Bemidji State Park","Summer",2020,64140,1653,1923,"Beltrami","Heartland"
"541",547,"Lake Bemidji State Park","Summer",2021,49200,1653,1923,"Beltrami","Heartland"
"542",548,"Lake Bemidji State Park","Winter",2018,4437,1653,1923,"Beltrami","Heartland"
"543",549,"Lake Bemidji State Park","Winter",2019,4684,1653,1923,"Beltrami","Heartland"
"544",550,"Lake Bemidji State Park","Winter",2020,5163,1653,1923,"Beltrami","Heartland"
"545",551,"Lake Bemidji State Park","Winter",2021,5381,1653,1923,"Beltrami","Heartland"
"546",552,"Lake Bemidji State Park","Winter",2022,574,1653,1923,"Beltrami","Heartland"
"547",553,"Lake Bronson State Park","Fall",2018,5120,2806,1937,"Kittson","Heartland"
"548",554,"Lake Bronson State Park","Fall",2019,4112,2806,1937,"Kittson","Heartland"
"549",555,"Lake Bronson State Park","Fall",2020,3965,2806,1937,"Kittson","Heartland"
"550",556,"Lake Bronson State Park","Fall",2021,3133,2806,1937,"Kittson","Heartland"
"551",557,"Lake Bronson State Park","Spring",2018,12670,2806,1937,"Kittson","Heartland"
"552",558,"Lake Bronson State Park","Spring",2019,6725,2806,1937,"Kittson","Heartland"
"553",559,"Lake Bronson State Park","Spring",2020,3579,2806,1937,"Kittson","Heartland"
"554",560,"Lake Bronson State Park","Spring",2021,7282,2806,1937,"Kittson","Heartland"
"555",561,"Lake Bronson State Park","Summer",2018,31581,2806,1937,"Kittson","Heartland"
"556",562,"Lake Bronson State Park","Summer",2019,42162,2806,1937,"Kittson","Heartland"
"557",563,"Lake Bronson State Park","Summer",2020,42909,2806,1937,"Kittson","Heartland"
"558",564,"Lake Bronson State Park","Summer",2021,50656,2806,1937,"Kittson","Heartland"
"559",565,"Lake Bronson State Park","Winter",2018,4993,2806,1937,"Kittson","Heartland"
"560",566,"Lake Bronson State Park","Winter",2019,8087,2806,1937,"Kittson","Heartland"
"561",567,"Lake Bronson State Park","Winter",2020,3139,2806,1937,"Kittson","Heartland"
"562",568,"Lake Bronson State Park","Winter",2021,3778,2806,1937,"Kittson","Heartland"
"563",569,"Lake Bronson State Park","Winter",2022,444,2806,1937,"Kittson","Heartland"
"564",570,"Lake Carlos State Park","Fall",2018,13500,1175,1937,"Douglas","Heartland"
"565",571,"Lake Carlos State Park","Fall",2019,12067,1175,1937,"Douglas","Heartland"
"566",572,"Lake Carlos State Park","Fall",2020,15652,1175,1937,"Douglas","Heartland"
"567",573,"Lake Carlos State Park","Fall",2021,12616,1175,1937,"Douglas","Heartland"
"568",574,"Lake Carlos State Park","Spring",2018,10322,1175,1937,"Douglas","Heartland"
"569",575,"Lake Carlos State Park","Spring",2019,9219,1175,1937,"Douglas","Heartland"
"570",576,"Lake Carlos State Park","Spring",2020,6985,1175,1937,"Douglas","Heartland"
"571",577,"Lake Carlos State Park","Spring",2021,13220,1175,1937,"Douglas","Heartland"
"572",578,"Lake Carlos State Park","Summer",2018,55923,1175,1937,"Douglas","Heartland"
"573",579,"Lake Carlos State Park","Summer",2019,60484,1175,1937,"Douglas","Heartland"
"574",580,"Lake Carlos State Park","Summer",2020,60272,1175,1937,"Douglas","Heartland"
"575",581,"Lake Carlos State Park","Summer",2021,60267,1175,1937,"Douglas","Heartland"
"576",582,"Lake Carlos State Park","Winter",2018,2165,1175,1937,"Douglas","Heartland"
"577",583,"Lake Carlos State Park","Winter",2019,2712,1175,1937,"Douglas","Heartland"
"578",584,"Lake Carlos State Park","Winter",2020,4820,1175,1937,"Douglas","Heartland"
"579",585,"Lake Carlos State Park","Winter",2021,3624,1175,1937,"Douglas","Heartland"
"580",586,"Lake Carlos State Park","Winter",2022,642,1175,1937,"Douglas","Heartland"
"581",587,"Lake Louise State Park","Fall",2018,3925,849,1963,"Mower","Southern"
"582",588,"Lake Louise State Park","Fall",2019,1646,849,1963,"Mower","Southern"
"583",589,"Lake Louise State Park","Fall",2020,2140,849,1963,"Mower","Southern"
"584",590,"Lake Louise State Park","Fall",2021,1534,849,1963,"Mower","Southern"
"585",591,"Lake Louise State Park","Spring",2018,2675,849,1963,"Mower","Southern"
"586",592,"Lake Louise State Park","Spring",2019,2866,849,1963,"Mower","Southern"
"587",593,"Lake Louise State Park","Spring",2020,3236,849,1963,"Mower","Southern"
"588",594,"Lake Louise State Park","Spring",2021,2098,849,1963,"Mower","Southern"
"589",595,"Lake Louise State Park","Summer",2018,11277,849,1963,"Mower","Southern"
"590",596,"Lake Louise State Park","Summer",2019,7855,849,1963,"Mower","Southern"
"591",597,"Lake Louise State Park","Summer",2020,7087,849,1963,"Mower","Southern"
"592",598,"Lake Louise State Park","Summer",2021,5201,849,1963,"Mower","Southern"
"593",599,"Lake Louise State Park","Winter",2018,4243,849,1963,"Mower","Southern"
"594",600,"Lake Louise State Park","Winter",2019,1119,849,1963,"Mower","Southern"
"595",601,"Lake Louise State Park","Winter",2020,662,849,1963,"Mower","Southern"
"596",602,"Lake Louise State Park","Winter",2021,657,849,1963,"Mower","Southern"
"597",603,"Lake Louise State Park","Winter",2022,223,849,1963,"Mower","Southern"
"598",604,"Lake Maria State Park","Fall",2018,11377,1475,1963,"Wright","Metro"
"599",605,"Lake Maria State Park","Fall",2019,7412,1475,1963,"Wright","Metro"
"600",606,"Lake Maria State Park","Fall",2020,19716,1475,1963,"Wright","Metro"
"601",607,"Lake Maria State Park","Fall",2021,11765,1475,1963,"Wright","Metro"
"602",608,"Lake Maria State Park","Spring",2018,4967,1475,1963,"Wright","Metro"
"603",609,"Lake Maria State Park","Spring",2019,5765,1475,1963,"Wright","Metro"
"604",610,"Lake Maria State Park","Spring",2020,23403,1475,1963,"Wright","Metro"
"605",611,"Lake Maria State Park","Spring",2021,12235,1475,1963,"Wright","Metro"
"606",612,"Lake Maria State Park","Summer",2018,11178,1475,1963,"Wright","Metro"
"607",613,"Lake Maria State Park","Summer",2019,10763,1475,1963,"Wright","Metro"
"608",614,"Lake Maria State Park","Summer",2020,19488,1475,1963,"Wright","Metro"
"609",615,"Lake Maria State Park","Summer",2021,14508,1475,1963,"Wright","Metro"
"610",616,"Lake Maria State Park","Winter",2018,2029,1475,1963,"Wright","Metro"
"611",617,"Lake Maria State Park","Winter",2019,3516,1475,1963,"Wright","Metro"
"612",618,"Lake Maria State Park","Winter",2020,3404,1475,1963,"Wright","Metro"
"613",619,"Lake Maria State Park","Winter",2021,5085,1475,1963,"Wright","Metro"
"614",620,"Lake Maria State Park","Winter",2022,471,1475,1963,"Wright","Metro"
"615",638,"Lake Vermilion-Soudan Underground Mine State Park","Fall",2018,41289,2875,2010,"St. Louis","Arrowhead"
