"","...1","name","Season","visit_year","total","Acres","Year","County or Counties","region"
"73",74,"Big Stone Lake State Park","Spring",2018,5078,980,1961,"Big Stone","Southern"
"74",75,"Big Stone Lake State Park","Spring",2019,3622,980,1961,"Big Stone","Southern"
"75",76,"Big Stone Lake State Park","Spring",2020,3423,980,1961,"Big Stone","Southern"
"76",77,"Big Stone Lake State Park","Spring",2021,6127,980,1961,"Big Stone","Southern"
"77",78,"Big Stone Lake State Park","Summer",2018,11063,980,1961,"Big Stone","Southern"
"78",79,"Big Stone Lake State Park","Summer",2019,12728,980,1961,"Big Stone","Southern"
"79",80,"Big Stone Lake State Park","Summer",2020,12418,980,1961,"Big Stone","Southern"
"80",81,"Big Stone Lake State Park","Summer",2021,10523,980,1961,"Big Stone","Southern"
"81",82,"Big Stone Lake State Park","Winter",2018,2045,980,1961,"Big Stone","Southern"
"82",83,"Big Stone Lake State Park","Winter",2019,1586,980,1961,"Big Stone","Southern"
"83",84,"Big Stone Lake State Park","Winter",2020,1971,980,1961,"Big Stone","Southern"
"84",85,"Big Stone Lake State Park","Winter",2021,1286,980,1961,"Big Stone","Southern"
"85",86,"Big Stone Lake State Park","Winter",2022,1035,980,1961,"Big Stone","Southern"
"86",87,"Blue Mounds State Park","Fall",2018,9719,1567,1937,"Rock","Southern"
"87",88,"Blue Mounds State Park","Fall",2019,7136,1567,1937,"Rock","Southern"
"88",89,"Blue Mounds State Park","Fall",2020,11087,1567,1937,"Rock","Southern"
"89",90,"Blue Mounds State Park","Fall",2021,6651,1567,1937,"Rock","Southern"
"90",91,"Blue Mounds State Park","Spring",2018,6418,1567,1937,"Rock","Southern"
"91",92,"Blue Mounds State Park","Spring",2019,7323,1567,1937,"Rock","Southern"
"92",93,"Blue Mounds State Park","Spring",2020,10885,1567,1937,"Rock","Southern"
"93",94,"Blue Mounds State Park","Spring",2021,10150,1567,1937,"Rock","Southern"
"94",95,"Blue Mounds State Park","Summer",2018,28314,1567,1937,"Rock","Southern"
"95",96,"Blue Mounds State Park","Summer",2019,26070,1567,1937,"Rock","Southern"
"96",97,"Blue Mounds State Park","Summer",2020,28686,1567,1937,"Rock","Southern"
"97",98,"Blue Mounds State Park","Summer",2021,19272,1567,1937,"Rock","Southern"
"98",99,"Blue Mounds State Park","Winter",2018,1816,1567,1937,"Rock","Southern"
"99",100,"Blue Mounds State Park","Winter",2019,3077,1567,1937,"Rock","Southern"
"100",101,"Blue Mounds State Park","Winter",2020,1443,1567,1937,"Rock","Southern"
"101",102,"Blue Mounds State Park","Winter",2021,2185,1567,1937,"Rock","Southern"
"102",103,"Blue Mounds State Park","Winter",2022,384,1567,1937,"Rock","Southern"
"103",104,"Buffalo River State Park","Fall",2018,5213,1068,1937,"Clay","Heartland"
"104",105,"Buffalo River State Park","Fall",2019,5038,1068,1937,"Clay","Heartland"
"105",106,"Buffalo River State Park","Fall",2020,9346,1068,1937,"Clay","Heartland"
"106",107,"Buffalo River State Park","Fall",2021,8506,1068,1937,"Clay","Heartland"
"107",108,"Buffalo River State Park","Spring",2018,8876,1068,1937,"Clay","Heartland"
"108",109,"Buffalo River State Park","Spring",2019,4750,1068,1937,"Clay","Heartland"
"109",110,"Buffalo River State Park","Spring",2020,8254,1068,1937,"Clay","Heartland"
"110",111,"Buffalo River State Park","Spring",2021,7113,1068,1937,"Clay","Heartland"
"111",112,"Buffalo River State Park","Summer",2018,32208,1068,1937,"Clay","Heartland"
"112",113,"Buffalo River State Park","Summer",2019,14109,1068,1937,"Clay","Heartland"
"113",114,"Buffalo River State Park","Summer",2020,13890,1068,1937,"Clay","Heartland"
"114",115,"Buffalo River State Park","Summer",2021,12086,1068,1937,"Clay","Heartland"
"115",116,"Buffalo River State Park","Winter",2018,1712,1068,1937,"Clay","Heartland"
"116",117,"Buffalo River State Park","Winter",2019,1397,1068,1937,"Clay","Heartland"
"117",118,"Buffalo River State Park","Winter",2020,687,1068,1937,"Clay","Heartland"
"118",119,"Buffalo River State Park","Winter",2021,2615,1068,1937,"Clay","Heartland"
"119",120,"Buffalo River State Park","Winter",2022,125,1068,1937,"Clay","Heartland"
"120",121,"Camden State Park","Fall",2018,7889,1855,1935,"Lyon","Southern"
"121",122,"Camden State Park","Fall",2019,10219,1855,1935,"Lyon","Southern"
"122",123,"Camden State Park","Fall",2020,10998,1855,1935,"Lyon","Southern"
"123",124,"Camden State Park","Fall",2021,7502,1855,1935,"Lyon","Southern"
"124",125,"Camden State Park","Spring",2018,5632,1855,1935,"Lyon","Southern"
"125",126,"Camden State Park","Spring",2019,5608,1855,1935,"Lyon","Southern"
"126",127,"Camden State Park","Spring",2020,8691,1855,1935,"Lyon","Southern"
"127",128,"Camden State Park","Spring",2021,7105,1855,1935,"Lyon","Southern"
"128",129,"Camden State Park","Summer",2018,21394,1855,1935,"Lyon","Southern"
"129",130,"Camden State Park","Summer",2019,22588,1855,1935,"Lyon","Southern"
"130",131,"Camden State Park","Summer",2020,23627,1855,1935,"Lyon","Southern"
"131",132,"Camden State Park","Summer",2021,17753,1855,1935,"Lyon","Southern"
"132",133,"Camden State Park","Winter",2018,2981,1855,1935,"Lyon","Southern"
"133",134,"Camden State Park","Winter",2019,599,1855,1935,"Lyon","Southern"
"134",135,"Camden State Park","Winter",2020,1172,1855,1935,"Lyon","Southern"
"135",136,"Camden State Park","Winter",2021,1348,1855,1935,"Lyon","Southern"
