"","Season","name","System","Implementing agency","Unit type","total"
"73","Spring-2018","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",5078
"74","Spring-2019","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3622
"75","Spring-2020","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3423
"76","Spring-2021","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",6127
"77","Summer-2018","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",11063
"78","Summer-2019","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",12728
"79","Summer-2020","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",12418
"80","Summer-2021","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",10523
"81","Winter-2018","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",2045
"82","Winter-2019","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1586
"83","Winter-2020","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1971
"84","Winter-2021","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1286
"85","Winter-2022","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1035
"86","Fall-2018","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",9719
"87","Fall-2019","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",7136
"88","Fall-2020","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",11087
"89","Fall-2021","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",6651
"90","Spring-2018","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",6418
"91","Spring-2019","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",7323
"92","Spring-2020","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",10885
"93","Spring-2021","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",10150
"94","Summer-2018","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",28314
"95","Summer-2019","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",26070
"96","Summer-2020","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",28686
"97","Summer-2021","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",19272
"98","Winter-2018","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",1816
"99","Winter-2019","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",3077
"100","Winter-2020","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",1443
