"","Season","name","System","Implementing agency","Unit type","total"
"312","Spring-2019","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",9696
"313","Spring-2020","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",26162
"314","Spring-2021","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",16502
"315","Summer-2018","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",27592
"316","Summer-2019","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",29761
"317","Summer-2020","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",54626
"318","Summer-2021","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",23511
"319","Winter-2018","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",3724
"320","Winter-2019","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",4320
"321","Winter-2020","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",2744
"322","Winter-2021","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",8206
"323","Winter-2022","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",882
"324","Fall-2018","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",4200
"325","Fall-2019","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3798
"326","Fall-2020","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1744
"327","Fall-2021","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1684
"328","Spring-2018","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",8342
"329","Spring-2019","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2566
"330","Spring-2020","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1497
"331","Spring-2021","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2178
"332","Summer-2018","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",9079
"333","Summer-2019","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",5237
"334","Summer-2020","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3569
"335","Summer-2021","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1938
"336","Winter-2018","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3812
"337","Winter-2019","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1844
"338","Winter-2020","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1500
"339","Winter-2021","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2296
"340","Winter-2022","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",626
"341","Fall-2018","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",7903
"342","Fall-2019","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5848
"343","Fall-2020","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",7035
"344","Fall-2021","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5366
"345","Spring-2018","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",4233
"346","Spring-2019","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",3957
"347","Spring-2020","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",3462
"348","Spring-2021","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5331
"349","Summer-2018","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",17124
"350","Summer-2019","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",15072
"351","Summer-2020","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",11526
"352","Summer-2021","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",10796
"353","Winter-2018","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",2397
"354","Winter-2019","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",892
"355","Winter-2020","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",904
"356","Winter-2021","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",2145
"357","Winter-2022","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",430
"358","Fall-2018","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",7563
"359","Fall-2019","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",8454
"360","Fall-2020","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",11498
"361","Fall-2021","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",9982
"362","Spring-2018","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",9012
"363","Spring-2019","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",7189
"364","Spring-2020","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",13910
"365","Spring-2021","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",11450
"366","Summer-2018","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32653
"367","Summer-2019","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32383
"368","Summer-2020","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",41069
"369","Summer-2021","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32285
"370","Winter-2018","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",3955
"371","Winter-2019","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",3436
"372","Winter-2020","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",4654
"373","Winter-2021","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",2950
"374","Winter-2022","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",637
"375","Fall-2018","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",110398
"376","Fall-2019","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",103226
"377","Fall-2020","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",113101
"378","Fall-2021","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",90238
"379","Spring-2018","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",105315
"380","Spring-2019","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",86620
"381","Spring-2020","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",59442
"382","Spring-2021","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",106361
"383","Summer-2018","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",239290
"384","Summer-2019","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",237708
"385","Summer-2020","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",258960
"386","Summer-2021","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",186493
"387","Winter-2018","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",57318
"388","Winter-2019","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",35653
"389","Winter-2020","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",35766
"390","Winter-2021","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",52888
"391","Winter-2022","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",13635
"392","Fall-2018","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",3161
"393","Fall-2019","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",7751
"394","Fall-2020","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",5605
"395","Fall-2021","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",4354
"396","Spring-2018","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2952
"397","Spring-2019","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",3914
"398","Spring-2020","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1351
"399","Spring-2021","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2667
"400","Summer-2018","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",7452
"401","Summer-2019","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",12503
"402","Summer-2020","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",12036
"403","Summer-2021","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",6321
"404","Winter-2018","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2240
"405","Winter-2019","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1426
"406","Winter-2020","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1388
"407","Winter-2021","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",937
"408","Winter-2022","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",336
"409","Fall-2018","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",10362
"410","Fall-2019","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",7565
"411","Fall-2020","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",14126
"412","Fall-2021","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",7633
"413","Spring-2018","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",4641
"414","Spring-2019","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",4318
"415","Spring-2020","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9760
"416","Spring-2021","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",6858
"417","Summer-2018","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",15503
"418","Summer-2019","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9633
"419","Summer-2020","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",17431
"420","Summer-2021","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9128
"421","Winter-2018","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",1751
"422","Winter-2019","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",2178
"423","Winter-2020","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",1620
"424","Winter-2021","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",3555
"425","Winter-2022","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",298
"426","Fall-2018","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1542
"427","Fall-2019","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",787
"428","Fall-2020","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1360
"429","Fall-2021","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1450
"430","Spring-2018","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1896
"431","Spring-2019","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1548
"432","Spring-2020","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",940
"433","Spring-2021","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1187
"434","Summer-2018","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",8632
"435","Summer-2019","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",5357
"436","Summer-2020","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",5179
"437","Summer-2021","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",4944
"438","Winter-2018","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1394
"439","Winter-2019","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1074
"440","Winter-2020","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",699
"441","Winter-2021","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",993
"442","Winter-2022","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",398
"443","Fall-2018","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1917
"444","Fall-2019","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",450
"445","Fall-2020","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",518
"446","Fall-2021","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",323
"447","Spring-2018","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1887
"448","Spring-2019","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2025
"449","Spring-2020","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",334
"450","Spring-2021","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",343
"451","Summer-2018","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",4717
"452","Summer-2019","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1556
"453","Summer-2020","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1181
"454","Summer-2021","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",894
"455","Winter-2018","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2889
"456","Winter-2019","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2100
"457","Winter-2020","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",426
"458","Winter-2021","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",275
"459","Winter-2022","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",132
"460","Fall-2018","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",27756
"461","Fall-2019","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",35635
"462","Fall-2020","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",49938
"463","Fall-2021","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",30894
"464","Spring-2018","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",18699
"465","Spring-2019","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",27133
"466","Spring-2020","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",62890
"467","Spring-2021","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",34352
"468","Summer-2018","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",67449
"469","Summer-2019","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",91602
"470","Summer-2020","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",119741
"471","Summer-2021","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",66406
"472","Winter-2018","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",2370
"473","Winter-2019","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",1625
"474","Winter-2020","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",1860
"475","Winter-2021","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",4425
"476","Winter-2022","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",368
"477","Fall-2018","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",167904
"478","Fall-2019","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",133592
"479","Fall-2020","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",112264
"480","Fall-2021","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",105231
"481","Spring-2018","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",87574
"482","Spring-2019","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",65460
"483","Spring-2020","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",48161
"484","Spring-2021","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",85975
"485","Summer-2018","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",448039
"486","Summer-2019","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",421775
"487","Summer-2020","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",348496
"488","Summer-2021","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",336599
"489","Winter-2018","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",23191
"490","Winter-2019","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",37763
"491","Winter-2020","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",33274
"492","Winter-2021","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",23612
"493","Winter-2022","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",2968
"494","Fall-2018","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",47659
"495","Fall-2019","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",36609
"496","Fall-2020","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",59726
"497","Fall-2021","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",36190
"498","Spring-2018","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",32009
"499","Spring-2019","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",31973
"500","Spring-2020","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",49876
"501","Spring-2021","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",40998
"502","Summer-2018","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",89031
"503","Summer-2019","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",77699
"504","Summer-2020","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",132721
"505","Summer-2021","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",79036
"506","Winter-2018","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",14754
"507","Winter-2019","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",14261
"508","Winter-2020","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",10860
"509","Winter-2021","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",17504
"510","Winter-2022","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",2653
"511","Fall-2018","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1337
"512","Fall-2019","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1695
"513","Fall-2020","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1780
"514","Fall-2021","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1299
"515","Spring-2018","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",973
"516","Spring-2019","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1209
"517","Spring-2020","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",2785
"518","Spring-2021","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1558
"519","Summer-2018","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1637
"520","Summer-2019","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1934
"521","Summer-2020","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",3187
"522","Summer-2021","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1439
"523","Winter-2018","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1086
"524","Winter-2019","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",563
"525","Winter-2020","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",504
"526","Winter-2021","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",535
"527","Winter-2022","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",94
"528","Fall-2018","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8878
"529","Fall-2019","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8729
"530","Fall-2020","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8314
"531","Fall-2021","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",7201
"532","Spring-2018","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",5061
"533","Spring-2019","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",4489
"534","Spring-2020","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",3563
"535","Spring-2021","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8193
"536","Summer-2018","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",21143
"537","Summer-2019","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",16211
"538","Summer-2020","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",15634
"539","Summer-2021","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",11251
"540","Winter-2018","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",3537
"541","Winter-2019","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",2072
"542","Winter-2020","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",1007
"543","Winter-2021","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",1588
"544","Winter-2022","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",443
"545","Fall-2018","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",4884
"546","Fall-2019","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2729
"547","Fall-2020","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2656
"548","Fall-2021","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1852
"549","Spring-2018","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1694
"550","Spring-2019","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1446
"551","Spring-2020","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2049
"552","Spring-2021","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1529
"553","Summer-2018","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",3114
"554","Summer-2019","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2330
"555","Summer-2020","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2999
"556","Summer-2021","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",3012
"557","Winter-2018","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1260
"558","Winter-2019","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",657
"559","Winter-2020","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",516
"560","Winter-2021","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1100
"561","Winter-2022","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",87
"562","Fall-2018","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",6694
"563","Fall-2019","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",5148
"564","Fall-2020","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",4002
"565","Fall-2021","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2463
"566","Spring-2018","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",4348
"567","Spring-2019","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",3029
"568","Spring-2020","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2527
"569","Spring-2021","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2524
"570","Summer-2018","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",15559
"571","Summer-2019","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",11964
"572","Summer-2020","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",12830
"573","Summer-2021","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",11491
"574","Winter-2018","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1508
"575","Winter-2019","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1850
"576","Winter-2020","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1149
"577","Winter-2021","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",997
"578","Winter-2022","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",113
"579","Fall-2018","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",13518
"580","Fall-2019","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16709
"581","Fall-2020","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16208
"582","Fall-2021","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",12124
"583","Spring-2018","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",15790
"584","Spring-2019","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",13177
"585","Spring-2020","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",11464
"586","Spring-2021","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16273
"587","Summer-2018","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",75007
"588","Summer-2019","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",83056
"589","Summer-2020","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",64140
"590","Summer-2021","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",49200
"591","Winter-2018","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",4437
"592","Winter-2019","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",4684
"593","Winter-2020","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",5163
"594","Winter-2021","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",5381
"595","Winter-2022","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",574
"596","Fall-2018","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",5120
"597","Fall-2019","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",4112
"598","Fall-2020","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3965
"599","Fall-2021","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3133
"600","Spring-2018","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",12670
"601","Spring-2019","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",6725
"602","Spring-2020","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3579
"603","Spring-2021","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",7282
"604","Summer-2018","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",31581
"605","Summer-2019","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",42162
"606","Summer-2020","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",42909
"607","Summer-2021","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",50656
"608","Winter-2018","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",4993
"609","Winter-2019","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",8087
"610","Winter-2020","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3139
"611","Winter-2021","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3778
"612","Winter-2022","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",444
"613","Fall-2018","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",13500
"614","Fall-2019","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",12067
"615","Fall-2020","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",15652
"616","Fall-2021","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",12616
"617","Spring-2018","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",10322
"618","Spring-2019","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",9219
"619","Spring-2020","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",6985
"620","Spring-2021","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",13220
"621","Summer-2018","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",55923
