name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type,unpacked,county,num,labels,labels2,region,count,labels3
Interstate State Park,Chisago,288,1895,St. Croix River,45.3949622,-92.6696521,Created in conjunction with a state park in Wisconsin to protect a basalt gorge and glacial potholes.[47] Two districts of CCC and WPA structures are on the NRHP.[48],NA,https://stateparks.com/interstate_state_park_in_minnesota.html,"307 Milltown RoadTaylors Falls, Minnesota   55084","There is so much to do at Interstate State Park, located on the beautiful St. Croix River. Visitors can climb the cliffs of the St. Croix River Dalles, canoe the flatwater, watch kayakers rush through the rapids, or relax on a excursion boat. Spring brings a great diversity of wildflowers and in fall, the St. Croix River Valley forest is ablaze in the autumn colors of red, gold, and orange. The geology that formed this park intrigues visitors, and brings geologists from all over the world. At least 10 different lava flows are exposed in the park, along with two distinct glacial deposits, and traces of old streams valleys and faults. During the summer, hike the trails and explore the glacial potholes that make this park unique.",state park,Chisago,Chisago,2,Chisago County: 2 state parks,Interstate State Park,Metro,14,Metro Region: 14state parks
Iron Range Off-Highway Vehicle State Recreation Area,St. Louis,1864,2002,Lake Ore-be-gone,47.48247,-92.44349000000001,Provides 36 miles (58 km) of trails for off highway vehicles.[49],NA,NA,NA,NA,NA,St. Louis,St. Louis,5,St. Louis County: 5 state parks,Iron Range Off-Highway Vehicle State Recreation Area,Arrowhead,23,Arrowhead Region: 23state parks
Itasca State Park,"Hubbard, Clearwater, Becker",30553,1891,Lake Itasca,47.1974579,-95.20196420000002,"Minnesota's oldest state park, which preserves the headwaters of the Mississippi River. The entire park and an individual archaeological site are on the NRHP, and a subsection is a National Natural Landmark.[50]",NA,https://stateparks.com/itasca_state_park_in_minnesota.html,"36750 Main Park DrivePark Rapids, Minnesota   56470","Established in 1891, Itasca is Minnesota's oldest state park. Today, the park totals more than 32,000 acres and includes more than 100 lakes. Walk across the mighty Mississippi as it starts its winding journey 2,552 miles to the Gulf of Mexico. Stand under towering pines at Preacher's Grove. Visit the Itasca Indian Cemetery or Wegmann's Cabin, landmarks of centuries gone by. Camp under the stars, or stay the night at the historic Douglas Lodge or cabins. Explore Wilderness Drive past the 2,000-acre Wilderness Sanctuary, one of Minnesota's seven National Natural Landmarks.",state park,Hubbard,Hubbard,2,Hubbard County: 2 state parks,Itasca State Park,Heartland,37,Heartland Region: 37state parks
Itasca State Park,"Hubbard, Clearwater, Becker",30553,1891,Lake Itasca,47.1974579,-95.20196420000002,"Minnesota's oldest state park, which preserves the headwaters of the Mississippi River. The entire park and an individual archaeological site are on the NRHP, and a subsection is a National Natural Landmark.[50]",NA,https://stateparks.com/itasca_state_park_in_minnesota.html,"36750 Main Park DrivePark Rapids, Minnesota   56470","Established in 1891, Itasca is Minnesota's oldest state park. Today, the park totals more than 32,000 acres and includes more than 100 lakes. Walk across the mighty Mississippi as it starts its winding journey 2,552 miles to the Gulf of Mexico. Stand under towering pines at Preacher's Grove. Visit the Itasca Indian Cemetery or Wegmann's Cabin, landmarks of centuries gone by. Camp under the stars, or stay the night at the historic Douglas Lodge or cabins. Explore Wilderness Drive past the 2,000-acre Wilderness Sanctuary, one of Minnesota's seven National Natural Landmarks.",state park, Clearwater,Clearwater,1,Clearwater County: 1 state park,Itasca State Park,Heartland,37,Heartland Region: 37state parks
Itasca State Park,"Hubbard, Clearwater, Becker",30553,1891,Lake Itasca,47.1974579,-95.20196420000002,"Minnesota's oldest state park, which preserves the headwaters of the Mississippi River. The entire park and an individual archaeological site are on the NRHP, and a subsection is a National Natural Landmark.[50]",NA,https://stateparks.com/itasca_state_park_in_minnesota.html,"36750 Main Park DrivePark Rapids, Minnesota   56470","Established in 1891, Itasca is Minnesota's oldest state park. Today, the park totals more than 32,000 acres and includes more than 100 lakes. Walk across the mighty Mississippi as it starts its winding journey 2,552 miles to the Gulf of Mexico. Stand under towering pines at Preacher's Grove. Visit the Itasca Indian Cemetery or Wegmann's Cabin, landmarks of centuries gone by. Camp under the stars, or stay the night at the historic Douglas Lodge or cabins. Explore Wilderness Drive past the 2,000-acre Wilderness Sanctuary, one of Minnesota's seven National Natural Landmarks.",state park, Becker,Becker,1,Becker County: 1 state park,Itasca State Park,Heartland,37,Heartland Region: 37state parks
Jay Cooke State Park,Carlton,8125,1915,Saint Louis River,46.6496646,-92.33074799999999,"Showcases a rocky, whitewater-strewn river churning through the North Woods.[51] Three districts of CCC and WPA structures and a long-used portage route are on the NRHP.[52]",NA,https://stateparks.com/jay_cooke_state_park_in_minnesota.html,"780 Highway 210Carlton, Minnesota   55718","Park trails link up to the Willard Munger State Trail at the north edge of the park; perfect for backpackers, bikers (both mountain and tour), hikers, horseback riders, and skiers. Check out the wildflowers in the spring, and the vivid colors in the fall. Walk on the swinging suspension bridge high above the raging St. Louis River. Visit the historic cemetery and the gorge at Thomson Dam.",state park,Carlton,Carlton,2,Carlton County: 2 state parks,Jay Cooke State Park,Arrowhead,23,Arrowhead Region: 23state parks
John A Latsch State Park,Winona,409,1925,Mississippi River,44.1619082,-91.8220997,Features three steep river bluffs.[53],NA,https://stateparks.com/john_latsch_state_park_in_minnesota.html,"43605 Kipp DriveWinona, Minnesota   55987","John A. Latsch, a successful Winona businessman and founder of the Izaak Walton League, loved to fish in the waters of the Mississippi River below the bluffs of Faith, Hope, and Charity. Today, a half-mile hike up the deep ravine for a view from these peaks is well worth the effort. From this vantage point, visitors relish a grand and long view of the Mississippi River Valley, the green lush forest in the summer, and the colors in the fall.",state park,Winona,Winona,3,Winona County: 3 state parks,John A Latsch State Park,Southern,43,Southern Region: 43state parks
Judge C R Magney State Park,Cook,4323,1957,"Lake Superior, Brule River",47.8512799,-90.05842990000001,"Contains the Devil's Kettle, a large glacial kettle into which half of the Brule River disappears.[54]",",[55]",https://stateparks.com/judge_c_r_magney_state_park_in_minnesota.html,"4051 East Highway 61Grand Marais, Minnesota   55604","Come for the quiet, the solitude, and the famous Devil's Kettle waterall. The most popular hike leads from the trailhead upstream along the Brule River to Devil's Kettle, where the river splits around a mass of volcanic rock. Half of the river plunges 50 feet into a pool, while the rest pours into a huge pothole. Anglers can catch brook and rainbow trout in the Brule River or its tributary, Gauthier Creek. The park offers camping, picnicking, hiking, and cross-country skiing.",state park,Cook,Cook,4,Cook County: 4 state parks,Judge C R Magney State Park,Arrowhead,23,Arrowhead Region: 23state parks
Kilen Woods State Park,Jackson,202,1945,Des Moines River,43.7266244,-95.0630473,Preserves a riverside parcel of forested hills on the Coteau des Prairies.[56],NA,https://stateparks.com/killen_woods_state_park_in_minnesota.html,"50200 860th StreetLakefield, Minnesota   56150","For a quiet, relaxing time, hike the cool woodland trail which meanders along the tranquil Des Moines River, or enjoy the view of the river valley from Dinosaur Ridge Overlook. You'll find pleasant surprises as you explore small creeks, prairie grasslands, and oak savannas. Visitors enjoy camping, canoeing, fishing, picnicking and hiking. In the winter, enjoy tubing down the long, steep hill.",state park,Jackson,Jackson,1,Jackson County: 1 state park,Kilen Woods State Park,Southern,43,Southern Region: 43state parks
La Salle Lake State Recreation Area,Hubbard,1000,2011,"Mississippi River, La Salle Lake",47.33719,-95.17061,In development around the second-deepest lake in Minnesota.[57],NA,NA,NA,NA,NA,Hubbard,Hubbard,2,Hubbard County: 2 state parks,La Salle Lake State Recreation Area,Heartland,37,Heartland Region: 37state parks
Lac qui Parle State Park,"Lac qui Parle, Chippewa",897,1959,"Lac qui Parle, Minnesota and Lac qui Parle Rivers",45.0205141,-95.888921,"Attracts thousands of migrating waterfowl, earning it the name ""Lake that Speaks.""[58] A district of WPA buildings is on the NRHP.[59]",NA,NA,NA,"Lac qui Parle is a French translation of the name given to the lake by the Dakota Indians who called it the ""lake that speaks."" If you visit in the spring or fall you'll understand why. The lake is a stop over for thousands of migratory Canada geese and other waterfowl. You'll hear a chorus of honking, quacking, and other vocalizations. Paddle the lake, or cast a line and catch walleye, northerns, perch, or crappie. Explore one of the trails by foot or horseback. Visit the historic Fort Renville and Lac qui Parle mission sites. While in the area, be sure to visit the 33,000 acre Lac qui Parle Wildlife Management Area.",state park,Lac qui Parle,Lac qui Parle,1,Lac qui Parle County: 1 state park,Lac qui Parle State Park,Southern,43,Southern Region: 43state parks
Lac qui Parle State Park,"Lac qui Parle, Chippewa",897,1959,"Lac qui Parle, Minnesota and Lac qui Parle Rivers",45.0205141,-95.888921,"Attracts thousands of migrating waterfowl, earning it the name ""Lake that Speaks.""[58] A district of WPA buildings is on the NRHP.[59]",NA,NA,NA,"Lac qui Parle is a French translation of the name given to the lake by the Dakota Indians who called it the ""lake that speaks."" If you visit in the spring or fall you'll understand why. The lake is a stop over for thousands of migratory Canada geese and other waterfowl. You'll hear a chorus of honking, quacking, and other vocalizations. Paddle the lake, or cast a line and catch walleye, northerns, perch, or crappie. Explore one of the trails by foot or horseback. Visit the historic Fort Renville and Lac qui Parle mission sites. While in the area, be sure to visit the 33,000 acre Lac qui Parle Wildlife Management Area.",state park, Chippewa,Chippewa,1,Chippewa County: 1 state park,Lac qui Parle State Park,Southern,43,Southern Region: 43state parks
Lake Bemidji State Park,Beltrami,1653,1923,Lake Bemidji,47.5363413,-94.82277039999998,Features a recreational lakeshore and a spruce-tamarack bog.[60] A district of CCC and National Youth Administration structures is on the NRHP.[61],NA,https://stateparks.com/lake_bemidji_state_park_in_minnesota.html,"3401 State Park Road NortheastBemidji, Minnesota   56601","This park is the perfect playground any time of year, offering visitors swimming, boating, fishing, birdwatching, hiking, camping, biking, picnicking, snowmobiling, cross-country skiing and year-around naturalist-led activities. Hikers can explore the beauty of a tamarack bog carpeted with showy lady's slippers, pitcher plants, dragon's mouth, grass pink, and insect-eating sundews. Most flowers are blooming in the bog during late spring and early summer.",state park,Beltrami,Beltrami,2,Beltrami County: 2 state parks,Lake Bemidji State Park,Heartland,37,Heartland Region: 37state parks
Lake Bronson State Park,Kittson,2806,1937,"Lake Bronson, South Branch Two Rivers",48.7247004,-96.60337409999998,Features a reservoir created during a drought in the 1930s. A district of WPA structures is on the NRHP.[62],NA,https://stateparks.com/lake_bronson_state_park_in_minnesota.html,"28Lake Bronson, Minnesota   56734","From the observation tower in the park, view the prairie and aspen-oak forests or watch for deer, sharp-tailed grouse, moose and sandhill cranes. The South Branch of the Two Rivers fills Lake Bronson. The lake, which is actually a reservoir, offers visitors swimming, fishing, boating, great camping, and a tranquil backdrop for the picnic grounds. For those who prefer a prairie experience, one of the campground areas allows camping on the prairie. Trails for hiking, biking, cross-country skiing, and snowmobiling provide visitors with great recreation choices.",state park,Kittson,Kittson,1,Kittson County: 1 state park,Lake Bronson State Park,Heartland,37,Heartland Region: 37state parks
Lake Carlos State Park,Douglas,1175,1937,Lake Carlos,45.9866293,-95.3278143,Preserves diverse habitats from prairie to hardwood forest to tamarack bog in a transition zone.[63]  Two districts of WPA structures are on the NRHP.[64],NA,https://stateparks.com/lake_carlos_state_park_in_minnesota.html,"2601 County Road 38 NortheastCarlos, Minnesota   56319","Sculpted by ancient glaciers, Lake Carlos State Park contains a tamarack bog, marshes, woodland ponds, and lakes. A variety of recreational activities revolve around the lake. Clear and deep, Lake Carlos offers visitors a perfect setting for swimming, fishing, boating, camping, hiking and horseback riding. In the winter, ski from the tamarack bog to a maple-basswood forest.",state park,Douglas,Douglas,1,Douglas County: 1 state park,Lake Carlos State Park,Heartland,37,Heartland Region: 37state parks
Lake Louise State Park,Mower,849,1963,"Lake Louise, Upper and Little Iowa Rivers",43.5335762,-92.5254538,"Features a reservoir surrounded by oak savanna and patches of hardwood forest. Minnesota's oldest continuous recreation area, formerly a town park since the 1860s.[65]",NA,NA,NA,"Lake Louise lures hikers and horseback riders to its trails, which wind through open meadows and lush hardwoods. It also provides bicyclists with access to the paved Shooting Star State Trail, which bisects the park. A historic dam impounds the Upper Iowa and Little Iowa River, allowing for great paddling, swimming and fishing on Lake Louise. In addition, visitors swim, boat, or fish in Lake Louise. Hiking and horseback riding are also popular sports at this park. The lakeside picnic grounds and beach area draws visitors in the summer.",state park,Mower,Mower,1,Mower County: 1 state park,Lake Louise State Park,Southern,43,Southern Region: 43state parks
Lake Maria State Park,Wright,1475,1963,Several kettle lakes,45.3138543,-93.95720030000001,Provides a lightly developed wilderness area near Minneapolis – Saint Paul in a morainal landscape of Big Woods.[66],NA,https://stateparks.com/lake_maria_state_park_in_minnesota.html,"11411 Clementa Avenue NorthwestMonticello, Minnesota   55362","Visitors who come to Lake Maria State Park will enjoy one of the few remaining stands of the ""Big Woods,"" a maple, oak and basswood forest that once covered part of southern Minnesota.The park is perfect for hikers, backpackers, horseback riders, and cross-country skiers who enjoy the challenge of the rolling terrain. Take a stroll on the boardwalk which winds through a marsh.Backpack sites, located on remote lakes and ponds throughout the park, are just two miles from the trailhead parking lot. New log camper cabins, located near lakes and ponds, provide bunk beds for six people and a table and benches for campers who want more of the creature comforts.Lake Maria State Park is home to the Blandings turtle, easily identified by bright yellow spots on its shell. It is one of Minnesota's threatened species.",state park,Wright,Wright,1,Wright County: 1 state park,Lake Maria State Park,Metro,14,Metro Region: 14state parks
Lake Shetek State Park,Murray County,1109,1937,Lake Shetek,44.1021838,-95.6900114,Features remnants of pioneer history around the largest lake in southwestern Minnesota.[67]  Two districts of WPA structures are on the NRHP.[68],NA,NA,NA,"The word ""Shetek"" is Ojibwe for ""pelican,"" a bird which visits Lake Shetek during the summer and fall. The park contains the largest lake in southwestern Minnesota, which forms the headwaters of the Des Moines River. Expect great fishing for walleye, northern, crappie, and bullheads. Loon Island, a 45-acre island on Lake Shetek, is accessible on foot via a causeway and includes an interpretive trail. Visit the Koch Cabin and monument memorializing pioneer settlers. The park includes a swimming beach, boat launch, campgrounds and a scenic six-mile loop bicycle trail into the town of Currie. Boat, canoe, and kayak rentals are available.",state park,Murray County,Murray,1,Murray County: 1 state park,Lake Shetek State Park,Southern,43,Southern Region: 43state parks
Lake Vermilion-Soudan Underground Mine State Park,St. Louis,2875,2010,Lake Vermilion,47.83471,-92.19812,Recently purchased and in development on the fifth-largest lake in Minnesota.[69],NA,NA,NA,"Adventure abounds at Lake Vermilion-Soudan Underground Mine State Park! Tour the historic underground mine, take a boat out or cast a line on Lake Vermilion, or hike through acres of old growth pine forest. The addition of nearly 3,000 acres and five miles of Lake Vermilion shoreline in 2010 adds even more opportunities to experience the wonders of northern Minnesota.",state park,St. Louis,St. Louis,5,St. Louis County: 5 state parks,Lake Vermilion-Soudan Underground Mine State Park,Arrowhead,23,Arrowhead Region: 23state parks
Maplewood State Park,Otter Tail,8127,1963,Several kettle lakes,46.5335703,-95.94921930000002,Preserves a forest/prairie transition zone in the Leaf Hills Moraines.[70]  A Native American archaeological site is on the NRHP.,NA,https://stateparks.com/maplewood_state_park_in_minnesota.html,"39721 Park Entrance RoadPelican Rapids, Minnesota   56572","The maple forest turns brilliant shades of orange, gold, and red in the fall. Eight major lakes and many ponds offer water lovers places to swim, fish, boat, and simply relax. Lake Lida has a sandy beach and large picnic areas for visitors. Drive along the scenic route to observe the wildlife: the park is host to 150 bird species and 50 species of mammals. The extensive trail system attracts hikers, horseback riders, and cross-country skiers.",state park,Otter Tail,Otter Tail,2,Otter Tail County: 2 state parks,Maplewood State Park,Heartland,37,Heartland Region: 37state parks
McCarthy Beach State Park,St. Louis,1908,1945,Sturgeon and Side Lakes,47.6727068,-93.03018340000001,Features a .5-mile-long (0.80 km) beach on an isthmus between two lakes.[71],NA,https://stateparks.com/mccarthy_beach_state_park_in_minnesota.html,"7622 McCarthy Beach RoadSide Lake, Minnesota   55781","Come to McCarthy Beach State Park and you'll remember the lakes. Dig your toes into the sandy beach on Sturgeon Lake, rated one of the top 17 beaches in North America by Highways' Magazine. Launch a boat to explore Side Lake and the four connected lakes of the Sturgeon chain. Hikers, cross-country skiers, and snowmobilers enjoy the scenic trails winding through stands of large red and white pines. For longer ventures, head out on the Taconite Trail for access to hundreds of miles of additional trails.",state park,St. Louis,St. Louis,5,St. Louis County: 5 state parks,McCarthy Beach State Park,Arrowhead,23,Arrowhead Region: 23state parks
Mille Lacs Kathio State Park,Mille Lacs,9786,1957,"Mille Lacs Lake, Rum River",46.1288485,-93.74052690000002,Preserves 19 identified archaeological sites dating back 9000 years. The entire park is a National Historic Landmark and four sites are individually listed on the NRHP.[6][72],NA,https://stateparks.com/mille_lacs_kathio_state_park_in_minnesota.html,"15066 Kathio State Park RoadOnamia, Minnesota   56359","Mille Lacs Kathio State Park has so much to offer and discover. Its 9000 years of human history and archaeological significance has made it a National Historic Landmark. You can learn about its rich history and all of Kathio's other treasures at the Visitor Center located next to the picnic grounds.Kathio's visitors can experience several different styles of camping year-round or even ""rough it"" in one of our new heated Camper Cabins. You can climb the 100 ft. observation/fire tower and look across the majesty of Mille Lacs Lake. Take part in Kathio's extensive interpretive/nature programs or get out by yourself and hike on the park's varied trail system. Kathio has a wonderful swimming beach plus canoes or rowboats you can rent for a trip on the historic Rum River and Ogechie and Shakopee lakes.In the winter, visitors can cross-country ski on trails described as the best in Minnesota or take the family sledding on our popular sliding hill. You can ride on Kathio's 19-mile statewide Grant-In-Aid snowmobile trail system or ""take it down a couple of notches"" and snowshoe on nearly 7 miles of pristine trail that will take you to places you cannot see in any other fashion.Mille Lacs Lake is the source of the Rum River which flows through the park. It links three lakes near its headwaters on a trip down to the Mississippi River just over 140 miles away. Two of those lakes, Ogechie and Shakopee, fall within Kathio's borders and provide good fishing and canoeing or boating opportunities. The river, lakes and park trails offer visitors excellent opportunities to watch waterfowl, bald eagles, osprey, otter, beaver, loons, deer, bear, coyotes and many others.While you're at Mille Lacs Kathio, take some time to visit the Mille Lacs Indian Museum located just two miles north on US Hwy. 169. It is run by the Minnesota State Historical Society and exhibits the Mille Lacs area history from 1680 forward.",state park,Mille Lacs,Mille Lacs,2,Mille Lacs County: 2 state parks,Mille Lacs Kathio State Park,Heartland,37,Heartland Region: 37state parks
Minneopa State Park,Blue Earth,1617,1905,"Minnesota River, Minneopa Creek",44.1621879,-94.10218029999999,Showcases the largest waterfall in southern Minnesota. The 1864 Seppman Mill and a district of WPA structures are each on the NRHP.[73],NA,https://stateparks.com/minneopa_state_park_in_minnesota.html,"54497 Gadwall RoadMankato, Minnesota   56001","The word Minneopa comes from the Dakota language and is interpreted to mean ""water falling twice,"" referring to the beautiful waterfalls of the Minneopa Creek. Walk the trail which encircles the falls, leading down a limestone stairway to the valley below. Ascend the opposite side and enjoy a panoramic view of the valley which reveals the underlying geology of this area. Visit Seppmann Mill, a wind driven grist mill fashioned in German style from native stone and lumber, or hike through oak savanna and native prairie grasslands overlooking the scenic Minnesota River Valley.",state park,Blue Earth,Blue Earth,1,Blue Earth County: 1 state park,Minneopa State Park,Southern,43,Southern Region: 43state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA,Hennepin,Hennepin,2,Hennepin County: 2 state parks,Minnesota Valley State Recreation Area,Metro,14,Metro Region: 14state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA, Dakota,Dakota,2,Dakota County: 2 state parks,Minnesota Valley State Recreation Area,Metro,14,Metro Region: 14state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA, Scott,Scott,1,Scott County: 1 state park,Minnesota Valley State Recreation Area,Metro,14,Metro Region: 14state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA, Carver,Carver,1,Carver County: 1 state park,Minnesota Valley State Recreation Area,Metro,14,Metro Region: 14state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA, Sibley,Sibley,1,Sibley County: 1 state park,Minnesota Valley State Recreation Area,Southern,43,Southern Region: 43state parks
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, Le Sueur",6442,1969,Minnesota River,44.661999,-93.70333699999999,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],NA,NA,NA,NA,NA, Le Sueur,Le Sueur,2,Le Sueur County: 2 state parks,Minnesota Valley State Recreation Area,Southern,43,Southern Region: 43state parks
Monson Lake State Park,Swift,343,1937,Monson and West Sunberg Lakes,45.3205175,-95.2750235,Established as a memorial to settlers who died in the Dakota War of 1862.[75] A district of CCC and WPA structures is on the NRHP.[76],NA,NA,NA,"Cast your line for walleye, northerns, bass, and sunfish in Monson Lake. Birdwatchers look for white pelicans, herons, western grebes, and songbirds in this 346 acre park with a diverse landscape of wetlands and hardwood forests. The park includes a quiet campground and wooded picnic area. Paddle the lake and take a short portage that leads from Monson Lake to West Sunburg Lake.",state park,Swift,Swift,1,Swift County: 1 state park,Monson Lake State Park,Southern,43,Southern Region: 43state parks
Moose Lake State Park,Carlton,829,1971,Moosehead and Echo Lakes,46.436319,-92.72521,Provides water recreation and an exhibit hall on Lake Superior agates (the state gemstone) and the geology of Minnesota.[77],NA,NA,NA,"Rolling hills surrounded by fields, woods, ponds and fishing lakes make this park popular for hikers, anglers, canoeists, swimmers and campers. Quiet Echo Lake is ideal for catching bass, northerns and panfish. The Willard Munger Trail is located two miles west of the park. The trail stretches for 60 miles from Hinckley to west Duluth.",state park,Carlton,Carlton,2,Carlton County: 2 state parks,Moose Lake State Park,Arrowhead,23,Arrowhead Region: 23state parks
Myre-Big Island State Park,Freeborn,1578,1947,Albert Lea Lake,43.6238465,-93.2890959,Features two islands with old growth hardwood forest since they were out of reach of prairie fires. Also houses one of the state's largest research collections of Native American artifacts.[78],NA,https://stateparks.com/helmer_myre_state_park_in_minnesota.html,NA,"This park has something for everyone. The trails take visitors around wet lowlands, oak savanna, and grasslands. Albert Lea Lake and park marshes draw hundreds of waterfowl during migration. Oak savanna and prairie landscape, including wetlands, dominate most of the park. One of the more unique aspects of the park is the 116-acre Big Island, covered with maple/basswood forest. Another is the glacial esker located in the northeast section of the park.",state park,Freeborn,Freeborn,1,Freeborn County: 1 state park,Myre-Big Island State Park,Southern,43,Southern Region: 43state parks
Nerstrand Big Woods State Park,Rice,1646,1945,Prairie Creek,44.3452425,-93.1074337,Preserves a remnant stand of Big Woods.[79],NA,https://stateparks.com/nerstrand_woods_state_park_in_minnesota.html,"9700 170th Street EastNerstrand, Minnesota   55053","Enjoy this park on foot, any season of the year. In the spring, the park is a wildflower garden where hepatica, bloodroot, Dutchman's breeches, and the dwarf trout lily bloom. The dwarf trout lily is only found here. Relax by Hidden Falls in the summer. The autumn brings a burst of red, orange, and gold in the maple-basswood forest, one of the last extensive stands of the ""Big Woods."" When winter comes, ski or snowmobile the trails through picturesque woods.",state park,Rice,Rice,2,Rice County: 2 state parks,Nerstrand Big Woods State Park,Southern,43,Southern Region: 43state parks
Old Mill State Park,Marshall,287,1951,Middle River,48.361364,-96.57032879999998,Features two mills and a log cabin from the late 19th Century.[80]  The Larson Mill and a district of WPA structures are each on the NRHP.[81],NA,https://stateparks.com/old_mill_state_park_in_minnesota.html,"33489 240th Avenue NorthwestArgyle, Minnesota   56713","A log cabin and a steam-powered flour mill at Old Mill State Park are bold landmarks from the past. The grist mill still gets fired up once a year to grind flour. The Middle River meanders through the park and visitors can see deer, beaver, and moose. Enjoy the prairie and the ever-changing parade of wildflowers along wooded trails. A swimming area, swinging bridge, picnic grounds, campground, and interpretive displays are popular among visitors.",state park,Marshall,Marshall,1,Marshall County: 1 state park,Old Mill State Park,Heartland,37,Heartland Region: 37state parks
Red River State Recreation Area,Polk,104,1997,Red River of the North and Red Lake River,47.9327778,-97.03555560000001,"Reclaims land devastated by the 1997 Red River flood as part of the Greater Grand Forks Greenway, which serves the dual purpose of holding back river waters during floods and providing recreational opportunities.[82]",NA,NA,NA,NA,NA,Polk,Polk,1,Polk County: 1 state park,Red River State Recreation Area,Heartland,37,Heartland Region: 37state parks
Rice Lake State Park,"Steele, Dodge",712,1963,Rice Lake,44.0874639,-93.06131500000001,Surrounds a shallow lake which attracts migrating waterfowl.[83],NA,NA,NA,"Long ago, American Indians harvested wild rice from this lake where today, the shallow waters and marshy edges of Rice Lake attract many waterfowl during migrations. Rice Lake is a major wetland in the area. Visitors enjoy camping under the tall hardwoods, photographing spring wildflowers, picnicking, and birdwatching. For a more secluded camping experience, paddle across the lake and camp in a canoe campsite. Winter activities include cross-country skiing and snowmobiling on the trails.",state park,Steele,Steele,1,Steele County: 1 state park,Rice Lake State Park,Southern,43,Southern Region: 43state parks
Rice Lake State Park,"Steele, Dodge",712,1963,Rice Lake,44.0874639,-93.06131500000001,Surrounds a shallow lake which attracts migrating waterfowl.[83],NA,NA,NA,"Long ago, American Indians harvested wild rice from this lake where today, the shallow waters and marshy edges of Rice Lake attract many waterfowl during migrations. Rice Lake is a major wetland in the area. Visitors enjoy camping under the tall hardwoods, photographing spring wildflowers, picnicking, and birdwatching. For a more secluded camping experience, paddle across the lake and camp in a canoe campsite. Winter activities include cross-country skiing and snowmobiling on the trails.",state park, Dodge,Dodge,1,Dodge County: 1 state park,Rice Lake State Park,Southern,43,Southern Region: 43state parks
St Croix Islands State Recreation Area,Washington,25,1935,St. Croix River,45.08524,-92.78608,Comprises five islands near the St. Croix Boom Site that came under state control but were never developed. Leased to the Saint Croix National Scenic Riverway.[4]: 318,NA,NA,NA,NA,NA,Washington,Washington,3,Washington County: 3 state parks,St Croix Islands State Recreation Area,Metro,14,Metro Region: 14state parks
Saint Croix State Park,Pine,31775,1943,St. Croix River,45.9741154,-92.5835304,Developed as a Recreational Demonstration Area by the CCC and the WPA to repurpose land too poor to farm. The entire park is a National Historic Landmark.[84],NA,https://stateparks.com/saint_croix_state_park_in_minnesota.html,"30065 St. Croix Park RoadHinckley, Minnesota   55037","Plan an extended visit to St. Croix. With over 34,000 acres and two great rivers: the Saint Croix River, a National Scenic Riverway, and the Kettle River, a State Wild and Scenic River, there's so much to do. Explore the rivers by canoe or with a fishing pole. Swim at Lake Clayton or climb a fire tower. The park has miles of trails for hikers, horseback riders, bicyclists, snowmobilers, and cross-country skiers. Campers can reserve drive-in, walk-in, backpack, and horseback campsites. Large groups can reserve the modern group centers or the primitive group camps.",state park,Pine,Pine,2,Pine County: 2 state parks,Saint Croix State Park,Arrowhead,23,Arrowhead Region: 23state parks
