name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type,unpacked,county,num,labels,labels2,region,count,labels3
Cascade River State Park,Cook,2867,1957,Lake Superior and Cascade River,47.7097222,-90.5222222,Stretches along 10.5 miles (16.9 km) of Lake Superior coastline in land rehabilitated after construction of Minnesota State Highway 61.[23] A WPA highway wayside is on the NRHP.[6],NA,https://stateparks.com/cascade_river_state_park_recreation_site_in_minnesota.html,NA,"Come to Cascade for the rushing river and grand waterfalls that lay within a gorge, lush with moss and ferns that grow on black volcanic rocks. Hike the trail through birch, spruce and white cedar; stop to see the views of Lake Superior, the largest freshwater lake in the world. Trails connect with the Superior Hiking Trail and the North Shore State Trail and offer great recreational opportunities to hikers and cross-country skiers. Drive-in and backpack campsites are available.",state park,Cook,Cook,4,Cook County: 4 state parks,Cascade River State Park,Arrowhead,23,Arrowhead Region: 23state parks
Charles A Lindbergh State Park,Morrison,417,1931,Mississippi River,45.9588545,-94.3952813,"Contains the restored home of Congressman Charles August Lindbergh and his son Charles Lindbergh, the famous aviator.[24] The house is a National Historic Landmark, and a district of WPA structures is on the NRHP.[25]",NA,https://stateparks.com/charles_a_lindbergh_state_park_in_minnesota.html,"1615 Lindbergh Drive SouthLittle Falls, Minnesota   56345","Located on the Mississippi River, Charles A. Lindbergh State Park offers visitors a quaint picnic area. The picnic area includes a historic Work Projects Administration (WPA) picnic shelter and a stone water tower. Fish the waters of the Mississippi River, canoe Pike Creek, or walk the trails amid grand red and white pine, aspen, oak and prairie. Look for bald eagles in the spring and fall. During your visit, stop in at the historic home of Charles A. Lindbergh, Sr., father of the famous aviator, Charles A. Lindbergh, Jr. The home is operated by the Minnesota Historical Society (MHS) and is adjacent to the park.",state park,Morrison,Morrison,2,Morrison County: 2 state parks,Charles A Lindbergh State Park,Heartland,37,Heartland Region: 37state parks
Crow Wing State Park,"Crow Wing, Cass, Morrison",2335,1959,Mississippi and Crow Wing Rivers,46.2722222,-94.33333329999999,"Interprets the site of Old Crow Wing, an important town and trading center in the mid-19th century. The town site and a section of the Red River Trails are both on the NRHP.[6][26]",NA,NA,NA,"This is a nature lover's delight. Explore prairie, pine, and hardwood forests. View the Mississippi River from historic and picturesque ""Chippewa Lookout."" Novice canoeists can paddle the calm waters of the Crow Wing and Mississippi Rivers. Crow Wing is a park rich in cultural history. In this area, a frontier town emerged to serve the needs of travelers and traders. The town died when the railroad chose to cross the river at Brainerd. Walk through the site of the Old Crow Wing Village for a sense of history. The park still has a section of the famous Woods Trail, which served ox cart traffic that carried supplies between St. Paul and the Red River settlements.",state park,Crow Wing,Crow Wing,2,Crow Wing County: 2 state parks,Crow Wing State Park,Heartland,37,Heartland Region: 37state parks
Crow Wing State Park,"Crow Wing, Cass, Morrison",2335,1959,Mississippi and Crow Wing Rivers,46.2722222,-94.33333329999999,"Interprets the site of Old Crow Wing, an important town and trading center in the mid-19th century. The town site and a section of the Red River Trails are both on the NRHP.[6][26]",NA,NA,NA,"This is a nature lover's delight. Explore prairie, pine, and hardwood forests. View the Mississippi River from historic and picturesque ""Chippewa Lookout."" Novice canoeists can paddle the calm waters of the Crow Wing and Mississippi Rivers. Crow Wing is a park rich in cultural history. In this area, a frontier town emerged to serve the needs of travelers and traders. The town died when the railroad chose to cross the river at Brainerd. Walk through the site of the Old Crow Wing Village for a sense of history. The park still has a section of the famous Woods Trail, which served ox cart traffic that carried supplies between St. Paul and the Red River settlements.",state park, Cass,Cass,2,Cass County: 2 state parks,Crow Wing State Park,Heartland,37,Heartland Region: 37state parks
Crow Wing State Park,"Crow Wing, Cass, Morrison",2335,1959,Mississippi and Crow Wing Rivers,46.2722222,-94.33333329999999,"Interprets the site of Old Crow Wing, an important town and trading center in the mid-19th century. The town site and a section of the Red River Trails are both on the NRHP.[6][26]",NA,NA,NA,"This is a nature lover's delight. Explore prairie, pine, and hardwood forests. View the Mississippi River from historic and picturesque ""Chippewa Lookout."" Novice canoeists can paddle the calm waters of the Crow Wing and Mississippi Rivers. Crow Wing is a park rich in cultural history. In this area, a frontier town emerged to serve the needs of travelers and traders. The town died when the railroad chose to cross the river at Brainerd. Walk through the site of the Old Crow Wing Village for a sense of history. The park still has a section of the famous Woods Trail, which served ox cart traffic that carried supplies between St. Paul and the Red River settlements.",state park, Morrison,Morrison,2,Morrison County: 2 state parks,Crow Wing State Park,Heartland,37,Heartland Region: 37state parks
Cuyuna Country State Recreation Area,Crow Wing,6850,1993,"Chain of small lakes and streams, filled pit mines",46.48955,-93.9775,"In development as the land is rehabilitated from open-pit iron mining. Includes Portsmouth Mine Pit Lake, the state's deepest lake.[27]",NA,NA,NA,NA,NA,Crow Wing,Crow Wing,2,Crow Wing County: 2 state parks,Cuyuna Country State Recreation Area,Heartland,37,Heartland Region: 37state parks
Father Hennepin State Park,Mille Lacs,275,1941,Mille Lacs Lake,46.1446779,-93.4880157,Provides lakeside recreation in the region visited by Father Louis Hennepin during a French expedition in 1680.[28],NA,https://stateparks.com/father_hennepin_state_park_in_minnesota.html,"41294 Father Hennepin Park RoadIsle, Minnesota   56342","Father Hennepin State Park is located on the southeast shore of Mille Lacs Lake. Visitors enjoy a large sandy beach for swimming, two boat accesses, fishing piers and picnic sites with a panoramic view of the lake. The park's 320 acres include two campgrounds and hiking trails that wind through a hardwood forest and along the rocky shoreline of Mille Lacs. The park's original vegetation was northern hardwoods mixed with marsh areas and pines along the lake. The hardwoods provide shade during the summer and spectacular color in the fall.
",state park,Mille Lacs,Mille Lacs,2,Mille Lacs County: 2 state parks,Father Hennepin State Park,Heartland,37,Heartland Region: 37state parks
Flandrau State Park,Brown,840,1937,Cottonwood River,44.2882956,-94.4735837,Created to provide water recreation near New Ulm.[29] Entire park is a district of CCC and WPA structures on the NRHP.[30],NA,https://stateparks.com/flandrau_state_park_in_minnesota.html,"1300 Summit AvenueNew Ulm, Minnesota   56073","The gentle flowing Big Cottonwood River meanders through this southern park. The sand-bottom swimming pond, picnic area, campgrounds and group center attract many visitors every summer to this very popular state park. The terrain is diverse, offering views of wooded river bottoms, oxbow marshes and open grasslands. Hikers and cross-country skiers enjoy the flat trails on the bottom of the valley or more challenging routes on the oak-shaded bluffs. Visit historic stone buildings crafted by Works Progress Administration(WPA)crews. Vegetative features include goat prairies, small white lady's slippers, and the floodplain forest.",state park,Brown,Brown,1,Brown County: 1 state park,Flandrau State Park,Southern,43,Southern Region: 43state parks
Forestville Mystery Cave State Park,Fillmore,3163,1963,South Branch Root River and tributaries,43.6255204,-92.247388,"Encompasses the historic townsite of Forestville, the state's longest explored cave, and three blue-ribbon trout streams.[31]",NA,NA,NA,"Visit Forestville/Mystery Cave State Park to see natural wonders above and below ground. In the summer, beat the heat with a visit below ground. Explore the world of Mystery Cave with its stalactites, stalagmites, and underground pools. Park naturalists provide tours of the cave throughout the summer and on weekends in the spring and fall. The temperature stays at a constant 48 degrees Fahrenheit. Learn more about Mystery Cave Tours. Above ground, stop by Historic Forestville, a restored 1800s village operated by the Minnesota Historical Society (MHS). Fish three blue-ribbon trout streams for brown trout. Take in the soft pastels of wildflowers in spring or listen to ruffed grouse drumming and wild turkeys gobbling. Hike or bring your horse to ride the ridge tops and stream valleys. Observe interesting geologic features along the way including sinkholes and dramatic Big Spring. In the fall, don't miss the bold colors of the forest. Winter invites visitors to ski or snowmobile the Bluff Country.
",state park,Fillmore,Fillmore,1,Fillmore County: 1 state park,Forestville Mystery Cave State Park,Southern,43,Southern Region: 43state parks
Fort Ridgely State Park,"Nicollet, Renville",537,1911,Fort Ridgely Creek,44.4524621,-94.73081990000001,"Surrounds Fort Ridgely, site of the Battle of Fort Ridgely during the Dakota War of 1862. The fort and a large district of CCC structures are both on the NRHP.[32][33]",NA,https://stateparks.com/fort_ridgely_state_park_in_minnesota.html,"72158 County Road 30Fairfax, Minnesota   55332","Tour Historic Fort Ridgely and wander through the ruins of this once thriving outpost. Learn about the U. S.-Dakota Conflict of 1862, a major event in Minnesota's early history. Stop by the cemetery to learn more about the history. For recreation, this park offers plenty: play a nine hole course; hike or ride the trails on horseback; play volleyball or softball; fish; and camp (drive-in and walk-in sites are available). Come winter, ski, snowmobile or sled down the big hill.",state park,Nicollet,Nicollet,1,Nicollet County: 1 state park,Fort Ridgely State Park,Southern,43,Southern Region: 43state parks
