"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"61","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",4470,"2019","Summer"
"62","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",2989,"2020","Summer"
"63","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1217,"2021","Summer"
"64","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1108,"2018","Winter"
"65","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1459,"2019","Winter"
"66","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",810,"2020","Winter"
"67","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",384,"2021","Winter"
"68","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",97,"2022","Winter"
"69","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4568,"2018","Fall"
"70","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4527,"2019","Fall"
"71","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4496,"2020","Fall"
"72","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",7904,"2021","Fall"
"73","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",5078,"2018","Spring"
"74","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3622,"2019","Spring"
"75","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3423,"2020","Spring"
"76","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",6127,"2021","Spring"
"77","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",11063,"2018","Summer"
"78","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",12728,"2019","Summer"
"79","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",12418,"2020","Summer"
"80","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",10523,"2021","Summer"
"81","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",2045,"2018","Winter"
"82","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1586,"2019","Winter"
"83","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1971,"2020","Winter"
"84","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1286,"2021","Winter"
"85","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",1035,"2022","Winter"
"86","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",9719,"2018","Fall"
"87","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",7136,"2019","Fall"
"88","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",11087,"2020","Fall"
"89","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",6651,"2021","Fall"
"90","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",6418,"2018","Spring"
"91","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",7323,"2019","Spring"
"92","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",10885,"2020","Spring"
"93","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",10150,"2021","Spring"
"94","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",28314,"2018","Summer"
"95","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",26070,"2019","Summer"
"96","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",28686,"2020","Summer"
"97","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",19272,"2021","Summer"
"98","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",1816,"2018","Winter"
"99","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",3077,"2019","Winter"
"100","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",1443,"2020","Winter"
"101","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",2185,"2021","Winter"
"102","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",384,"2022","Winter"
"103","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",5213,"2018","Fall"
"104","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",5038,"2019","Fall"
"105","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",9346,"2020","Fall"
"106","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8506,"2021","Fall"
"107","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8876,"2018","Spring"
"108","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",4750,"2019","Spring"
"109","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8254,"2020","Spring"
"110","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",7113,"2021","Spring"
"111","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",32208,"2018","Summer"
"112","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",14109,"2019","Summer"
"113","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",13890,"2020","Summer"
"114","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",12086,"2021","Summer"
"115","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",1712,"2018","Winter"
"116","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",1397,"2019","Winter"
"117","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",687,"2020","Winter"
"118","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",2615,"2021","Winter"
"119","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",125,"2022","Winter"
"120","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7889,"2018","Fall"
"121","Camden State Park","Department of Natural Resources State Park","DNR","State Park",10219,"2019","Fall"
"122","Camden State Park","Department of Natural Resources State Park","DNR","State Park",10998,"2020","Fall"
"123","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7502,"2021","Fall"
"124","Camden State Park","Department of Natural Resources State Park","DNR","State Park",5632,"2018","Spring"
"125","Camden State Park","Department of Natural Resources State Park","DNR","State Park",5608,"2019","Spring"
"126","Camden State Park","Department of Natural Resources State Park","DNR","State Park",8691,"2020","Spring"
"127","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7105,"2021","Spring"
"128","Camden State Park","Department of Natural Resources State Park","DNR","State Park",21394,"2018","Summer"
"129","Camden State Park","Department of Natural Resources State Park","DNR","State Park",22588,"2019","Summer"
"130","Camden State Park","Department of Natural Resources State Park","DNR","State Park",23627,"2020","Summer"
"131","Camden State Park","Department of Natural Resources State Park","DNR","State Park",17753,"2021","Summer"
"132","Camden State Park","Department of Natural Resources State Park","DNR","State Park",2981,"2018","Winter"
"133","Camden State Park","Department of Natural Resources State Park","DNR","State Park",599,"2019","Winter"
"134","Camden State Park","Department of Natural Resources State Park","DNR","State Park",1172,"2020","Winter"
"135","Camden State Park","Department of Natural Resources State Park","DNR","State Park",1348,"2021","Winter"
"136","Camden State Park","Department of Natural Resources State Park","DNR","State Park",156,"2022","Winter"
"137","Carley State Park","Department of Natural Resources State Park","DNR","State Park",1975,"2018","Fall"
"138","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2377,"2019","Fall"
"139","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5182,"2020","Fall"
"140","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2163,"2021","Fall"
"141","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2956,"2018","Spring"
"142","Carley State Park","Department of Natural Resources State Park","DNR","State Park",3479,"2019","Spring"
"143","Carley State Park","Department of Natural Resources State Park","DNR","State Park",7926,"2020","Spring"
"144","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5825,"2021","Spring"
"145","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5098,"2018","Summer"
"146","Carley State Park","Department of Natural Resources State Park","DNR","State Park",3851,"2019","Summer"
"147","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5932,"2020","Summer"
"148","Carley State Park","Department of Natural Resources State Park","DNR","State Park",4503,"2021","Summer"
"149","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2758,"2018","Winter"
"150","Carley State Park","Department of Natural Resources State Park","DNR","State Park",900,"2019","Winter"
"151","Carley State Park","Department of Natural Resources State Park","DNR","State Park",1269,"2020","Winter"
"152","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2410,"2021","Winter"
"153","Carley State Park","Department of Natural Resources State Park","DNR","State Park",364,"2022","Winter"
"154","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",18474,"2018","Fall"
"155","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",21604,"2019","Fall"
"156","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",26734,"2020","Fall"
"157","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",19841,"2021","Fall"
"158","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",16218,"2018","Spring"
"159","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",13523,"2019","Spring"
"160","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",8314,"2020","Spring"
"161","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",27337,"2021","Spring"
"162","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",38672,"2018","Summer"
"163","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",44915,"2019","Summer"
"164","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",52572,"2020","Summer"
"165","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",47878,"2021","Summer"
"166","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",7345,"2018","Winter"
"167","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",4273,"2019","Winter"
"168","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",5140,"2020","Winter"
"169","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",8593,"2021","Winter"
"170","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",1306,"2022","Winter"
"171","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2251,"2018","Fall"
"172","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4224,"2019","Fall"
"173","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4279,"2020","Fall"
"174","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",3977,"2021","Fall"
"175","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2795,"2018","Spring"
"176","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2603,"2019","Spring"
"177","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",5066,"2020","Spring"
"178","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4793,"2021","Spring"
"179","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",6284,"2018","Summer"
"180","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",10634,"2019","Summer"
"181","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",9852,"2020","Summer"
"182","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",6438,"2021","Summer"
"183","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",853,"2018","Winter"
"184","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",888,"2019","Winter"
"185","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",1113,"2020","Winter"
"186","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2333,"2021","Winter"
"187","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",167,"2022","Winter"
"188","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7217,"2018","Fall"
"189","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",5975,"2019","Fall"
"190","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",9592,"2020","Fall"
"191","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7664,"2021","Fall"
"192","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",3487,"2018","Spring"
"193","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",3149,"2019","Spring"
"194","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7135,"2020","Spring"
"195","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",5953,"2021","Spring"
"196","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",17540,"2018","Summer"
"197","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",15659,"2019","Summer"
"198","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",17946,"2020","Summer"
"199","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",12241,"2021","Summer"
"200","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",1959,"2018","Winter"
"201","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",696,"2019","Winter"
"202","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",941,"2020","Winter"
"203","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",1372,"2021","Winter"
"204","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",260,"2022","Winter"
"205","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",9283,"2018","Fall"
"206","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",9575,"2019","Fall"
"207","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10691,"2020","Fall"
"208","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10780,"2021","Fall"
"209","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10388,"2018","Spring"
"210","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",6234,"2019","Spring"
"211","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",4839,"2020","Spring"
"212","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10751,"2021","Spring"
"213","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",42601,"2018","Summer"
"214","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",32630,"2019","Summer"
"215","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",42678,"2020","Summer"
"216","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",31781,"2021","Summer"
"217","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",2486,"2018","Winter"
"218","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",1123,"2019","Winter"
"219","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",754,"2020","Winter"
"220","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",1070,"2021","Winter"
"221","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",245,"2022","Winter"
"222","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9382,"2018","Fall"
