"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"299","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1771,"2019","Summer"
"300","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1662,"2020","Summer"
"301","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1861,"2021","Summer"
"302","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1260,"2018","Winter"
"303","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1153,"2019","Winter"
"304","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",818,"2020","Winter"
"305","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",748,"2021","Winter"
"306","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",330,"2022","Winter"
"307","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",15925,"2018","Fall"
"308","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",19269,"2019","Fall"
"309","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",33334,"2020","Fall"
"310","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",14378,"2021","Fall"
"311","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",11224,"2018","Spring"
"312","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",9696,"2019","Spring"
"313","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",26162,"2020","Spring"
"314","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",16502,"2021","Spring"
"315","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",27592,"2018","Summer"
"316","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",29761,"2019","Summer"
"317","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",54626,"2020","Summer"
"318","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",23511,"2021","Summer"
"319","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",3724,"2018","Winter"
"320","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",4320,"2019","Winter"
"321","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",2744,"2020","Winter"
"322","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",8206,"2021","Winter"
"323","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",882,"2022","Winter"
"324","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",4200,"2018","Fall"
"325","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3798,"2019","Fall"
"326","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1744,"2020","Fall"
"327","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1684,"2021","Fall"
"328","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",8342,"2018","Spring"
"329","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2566,"2019","Spring"
"330","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1497,"2020","Spring"
"331","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2178,"2021","Spring"
"332","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",9079,"2018","Summer"
"333","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",5237,"2019","Summer"
"334","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3569,"2020","Summer"
"335","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1938,"2021","Summer"
"336","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",3812,"2018","Winter"
"337","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1844,"2019","Winter"
"338","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",1500,"2020","Winter"
"339","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",2296,"2021","Winter"
"340","George H Crosby-Manitou State Park","Department of Natural Resources State Park","DNR","State Park",626,"2022","Winter"
"341","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",7903,"2018","Fall"
"342","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5848,"2019","Fall"
"343","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",7035,"2020","Fall"
"344","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5366,"2021","Fall"
"345","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",4233,"2018","Spring"
"346","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",3957,"2019","Spring"
"347","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",3462,"2020","Spring"
"348","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",5331,"2021","Spring"
"349","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",17124,"2018","Summer"
"350","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",15072,"2019","Summer"
"351","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",11526,"2020","Summer"
"352","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",10796,"2021","Summer"
"353","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",2397,"2018","Winter"
"354","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",892,"2019","Winter"
"355","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",904,"2020","Winter"
"356","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",2145,"2021","Winter"
"357","Glacial Lakes State Park","Department of Natural Resources State Park","DNR","State Park",430,"2022","Winter"
"358","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",7563,"2018","Fall"
"359","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",8454,"2019","Fall"
"360","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",11498,"2020","Fall"
"361","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",9982,"2021","Fall"
"362","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",9012,"2018","Spring"
"363","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",7189,"2019","Spring"
"364","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",13910,"2020","Spring"
"365","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",11450,"2021","Spring"
"366","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32653,"2018","Summer"
"367","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32383,"2019","Summer"
"368","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",41069,"2020","Summer"
"369","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",32285,"2021","Summer"
"370","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",3955,"2018","Winter"
"371","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",3436,"2019","Winter"
"372","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",4654,"2020","Winter"
"373","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",2950,"2021","Winter"
"374","Glendalough State Park","Department of Natural Resources State Park","DNR","State Park",637,"2022","Winter"
"375","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",110398,"2018","Fall"
"376","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",103226,"2019","Fall"
"377","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",113101,"2020","Fall"
"378","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",90238,"2021","Fall"
"379","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",105315,"2018","Spring"
"380","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",86620,"2019","Spring"
"381","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",59442,"2020","Spring"
"382","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",106361,"2021","Spring"
"383","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",239290,"2018","Summer"
"384","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",237708,"2019","Summer"
"385","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",258960,"2020","Summer"
"386","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",186493,"2021","Summer"
"387","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",57318,"2018","Winter"
"388","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",35653,"2019","Winter"
"389","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",35766,"2020","Winter"
"390","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",52888,"2021","Winter"
"391","Gooseberry Falls State Park","Department of Natural Resources State Park","DNR","State Park",13635,"2022","Winter"
"392","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",3161,"2018","Fall"
"393","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",7751,"2019","Fall"
"394","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",5605,"2020","Fall"
"395","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",4354,"2021","Fall"
"396","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2952,"2018","Spring"
"397","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",3914,"2019","Spring"
"398","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1351,"2020","Spring"
"399","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2667,"2021","Spring"
"400","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",7452,"2018","Summer"
"401","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",12503,"2019","Summer"
"402","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",12036,"2020","Summer"
"403","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",6321,"2021","Summer"
"404","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",2240,"2018","Winter"
"405","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1426,"2019","Winter"
"406","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",1388,"2020","Winter"
"407","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",937,"2021","Winter"
"408","Grand Portage State Park","Department of Natural Resources State Park","DNR","State Park",336,"2022","Winter"
"409","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",10362,"2018","Fall"
"410","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",7565,"2019","Fall"
"411","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",14126,"2020","Fall"
"412","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",7633,"2021","Fall"
"413","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",4641,"2018","Spring"
"414","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",4318,"2019","Spring"
"415","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9760,"2020","Spring"
"416","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",6858,"2021","Spring"
"417","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",15503,"2018","Summer"
"418","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9633,"2019","Summer"
"419","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",17431,"2020","Summer"
"420","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",9128,"2021","Summer"
"421","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",1751,"2018","Winter"
"422","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",2178,"2019","Winter"
"423","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",1620,"2020","Winter"
"424","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",3555,"2021","Winter"
"425","Great River Bluffs State Park","Department of Natural Resources State Park","DNR","State Park",298,"2022","Winter"
"426","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1542,"2018","Fall"
"427","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",787,"2019","Fall"
"428","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1360,"2020","Fall"
"429","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1450,"2021","Fall"
"430","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1896,"2018","Spring"
"431","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1548,"2019","Spring"
"432","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",940,"2020","Spring"
"433","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1187,"2021","Spring"
"434","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",8632,"2018","Summer"
"435","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",5357,"2019","Summer"
"436","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",5179,"2020","Summer"
"437","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",4944,"2021","Summer"
"438","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1394,"2018","Winter"
"439","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",1074,"2019","Winter"
"440","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",699,"2020","Winter"
"441","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",993,"2021","Winter"
"442","Hayes Lake State Park","Department of Natural Resources State Park","DNR","State Park",398,"2022","Winter"
"443","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1917,"2018","Fall"
"444","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",450,"2019","Fall"
"445","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",518,"2020","Fall"
"446","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",323,"2021","Fall"
"447","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1887,"2018","Spring"
"448","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2025,"2019","Spring"
"449","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",334,"2020","Spring"
"450","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",343,"2021","Spring"
"451","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",4717,"2018","Summer"
"452","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1556,"2019","Summer"
"453","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",1181,"2020","Summer"
"454","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",894,"2021","Summer"
"455","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2889,"2018","Winter"
"456","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",2100,"2019","Winter"
"457","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",426,"2020","Winter"
"458","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",275,"2021","Winter"
"459","Hill Annex Mine State Park","Department of Natural Resources State Park","DNR","State Park",132,"2022","Winter"
"460","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",27756,"2018","Fall"
"461","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",35635,"2019","Fall"
"462","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",49938,"2020","Fall"
"463","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",30894,"2021","Fall"
"464","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",18699,"2018","Spring"
"465","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",27133,"2019","Spring"
"466","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",62890,"2020","Spring"
"467","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",34352,"2021","Spring"
"468","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",67449,"2018","Summer"
"469","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",91602,"2019","Summer"
"470","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",119741,"2020","Summer"
"471","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",66406,"2021","Summer"
"472","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",2370,"2018","Winter"
"473","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",1625,"2019","Winter"
"474","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",1860,"2020","Winter"
"475","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",4425,"2021","Winter"
"476","Interstate State Park","Department of Natural Resources State Park","DNR","State Park",368,"2022","Winter"
"477","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",167904,"2018","Fall"
"478","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",133592,"2019","Fall"
"479","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",112264,"2020","Fall"
"480","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",105231,"2021","Fall"
"481","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",87574,"2018","Spring"
"482","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",65460,"2019","Spring"
"483","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",48161,"2020","Spring"
"484","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",85975,"2021","Spring"
"485","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",448039,"2018","Summer"
"486","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",421775,"2019","Summer"
"487","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",348496,"2020","Summer"
"488","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",336599,"2021","Summer"
"489","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",23191,"2018","Winter"
"490","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",37763,"2019","Winter"
"491","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",33274,"2020","Winter"
"492","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",23612,"2021","Winter"
"493","Itasca State Park","Department of Natural Resources State Park","DNR","State Park",2968,"2022","Winter"
"494","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",47659,"2018","Fall"
"495","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",36609,"2019","Fall"
"496","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",59726,"2020","Fall"
"497","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",36190,"2021","Fall"
"498","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",32009,"2018","Spring"
"499","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",31973,"2019","Spring"
"500","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",49876,"2020","Spring"
"501","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",40998,"2021","Spring"
"502","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",89031,"2018","Summer"
"503","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",77699,"2019","Summer"
"504","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",132721,"2020","Summer"
"505","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",79036,"2021","Summer"
"506","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",14754,"2018","Winter"
"507","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",14261,"2019","Winter"
"508","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",10860,"2020","Winter"
"509","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",17504,"2021","Winter"
"510","Jay Cooke State Park","Department of Natural Resources State Park","DNR","State Park",2653,"2022","Winter"
"511","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1337,"2018","Fall"
"512","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1695,"2019","Fall"
"513","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1780,"2020","Fall"
"514","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1299,"2021","Fall"
"515","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",973,"2018","Spring"
"516","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1209,"2019","Spring"
"517","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",2785,"2020","Spring"
"518","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1558,"2021","Spring"
"519","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1637,"2018","Summer"
"520","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1934,"2019","Summer"
"521","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",3187,"2020","Summer"
"522","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1439,"2021","Summer"
"523","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",1086,"2018","Winter"
"524","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",563,"2019","Winter"
"525","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",504,"2020","Winter"
"526","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",535,"2021","Winter"
"527","John A Latsch State Park","Department of Natural Resources State Park","DNR","State Park",94,"2022","Winter"
"528","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8878,"2018","Fall"
"529","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8729,"2019","Fall"
"530","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8314,"2020","Fall"
"531","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",7201,"2021","Fall"
"532","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",5061,"2018","Spring"
"533","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",4489,"2019","Spring"
"534","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",3563,"2020","Spring"
"535","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",8193,"2021","Spring"
"536","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",21143,"2018","Summer"
"537","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",16211,"2019","Summer"
"538","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",15634,"2020","Summer"
"539","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",11251,"2021","Summer"
"540","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",3537,"2018","Winter"
"541","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",2072,"2019","Winter"
"542","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",1007,"2020","Winter"
"543","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",1588,"2021","Winter"
"544","Judge C R Magney State Park","Department of Natural Resources State Park","DNR","State Park",443,"2022","Winter"
"545","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",4884,"2018","Fall"
"546","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2729,"2019","Fall"
"547","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2656,"2020","Fall"
"548","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1852,"2021","Fall"
"549","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1694,"2018","Spring"
"550","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1446,"2019","Spring"
"551","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2049,"2020","Spring"
"552","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1529,"2021","Spring"
"553","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",3114,"2018","Summer"
"554","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2330,"2019","Summer"
"555","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",2999,"2020","Summer"
"556","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",3012,"2021","Summer"
"557","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1260,"2018","Winter"
"558","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",657,"2019","Winter"
"559","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",516,"2020","Winter"
"560","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",1100,"2021","Winter"
"561","Kilen Woods State Park","Department of Natural Resources State Park","DNR","State Park",87,"2022","Winter"
"562","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",6694,"2018","Fall"
"563","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",5148,"2019","Fall"
"564","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",4002,"2020","Fall"
"565","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2463,"2021","Fall"
"566","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",4348,"2018","Spring"
"567","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",3029,"2019","Spring"
"568","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2527,"2020","Spring"
"569","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",2524,"2021","Spring"
"570","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",15559,"2018","Summer"
"571","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",11964,"2019","Summer"
"572","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",12830,"2020","Summer"
"573","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",11491,"2021","Summer"
"574","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1508,"2018","Winter"
"575","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1850,"2019","Winter"
"576","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",1149,"2020","Winter"
"577","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",997,"2021","Winter"
"578","Lac qui Parle State Park","Department of Natural Resources State Park","DNR","State Park",113,"2022","Winter"
"579","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",13518,"2018","Fall"
"580","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16709,"2019","Fall"
"581","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16208,"2020","Fall"
"582","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",12124,"2021","Fall"
"583","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",15790,"2018","Spring"
"584","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",13177,"2019","Spring"
"585","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",11464,"2020","Spring"
"586","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",16273,"2021","Spring"
"587","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",75007,"2018","Summer"
"588","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",83056,"2019","Summer"
"589","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",64140,"2020","Summer"
"590","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",49200,"2021","Summer"
"591","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",4437,"2018","Winter"
"592","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",4684,"2019","Winter"
"593","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",5163,"2020","Winter"
"594","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",5381,"2021","Winter"
"595","Lake Bemidji State Park","Department of Natural Resources State Park","DNR","State Park",574,"2022","Winter"
