"park_name","Winter*Year interaction","Was Winter 2020 involved?","Spring*Year interaction","Was Spring 2020 involved?","Summer*Year interaction","Was Summer 2020 involved?","Fall*Year interaction","Was Fall 2020 involved?"
"Pine Valley Recreation Area","None","No","***","Yes","**","Yes","***","Yes"
"Plum Creek Park","None","No","None","No","**","Yes","None","No"
"Quarry Hill Park & Nature Center","None","No","***","Yes","***","Yes","**","Yes"
"Quarry Park","None","No","***","Yes","***","Yes","None","No"
"Red River","None","No","None","No","None","No","***","Yes"
"Rice Creek Chain of Lakes","None","No","***","Yes","None","No","None","No"
"Rice Lake","None","No","None","No","*","No","*","Yes"
"River Bluffs Park","None","No","None","No","***","Yes","None","No"
"Robbins Island Park","None","No","None","No","None","No","***","Yes"
"Robert Ney Memorial Park Reserve","None","No","***","Yes","None","No","**","Yes"
"Rochester Gamehaven Park","None","No","**","Yes","*","Yes","**","Yes"
"Rum River Central","None","No","***","Yes","***","Yes","***","Yes"
"Saint Croix Boom Site","None","No","***","Yes","***","Yes","**","Yes"
"Sawtooth Bluff","None","No","***","Yes","***","Yes","***","Yes"
"Sibley","None","No","None","No","***","No","None","No"
"Silverwood","None","No","None","No","*","Yes","None","No"
"Spirit Mountain Recreation Area","None","No","None","No","***","Yes","None","No"
"Split Rock Lighthouse","None","No","None","No","**","Yes","None","No"
"Spring Lake (Dakota County Parks)","None","No","***","Yes","***","Yes","***","Yes"
"Spring Lake (Scott County Parks)","None","No","***","Yes","***","Yes","***","Yes"
"Stanley Eddy Park Reserve","None","No","***","Yes","***","Yes","***","Yes"
"St Croix","None","No","None","No","***","Yes","*","No"
"Temperance River","None","No","None","No","**","Yes","None","No"
"Tettegouche","None","No","None","No","***","Yes","None","No"
"The Landing","None","No","*","No","None","No","**","No"
"Tony Schmidt","None","No","None","No","None","No","*","No"
"Vadnais-Snail Lake","None","No","***","Yes","***","Yes","*","Yes"
"Warner Lake Park","None","No","*","Yes","None","No","***","Yes"
"Whitetail Woods","None","No","***","Yes","**","Yes","***","Yes"
"Wild River","None","No","None","No","***","Yes","None","No"
"William O'Brien","None","No","***","Yes","***","Yes","None","No"
"Zippel Bay","None","No","None","No","None","No","None","No"
"Fish Lake County park","None","No","None","No","*","No","None","No"
