"Park name","Park system","Implementing agency","Unit type","Core park"
"Gateway to the North park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Grand Marais Recreation Area","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Hok Si La Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Ney Nature Center","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Northerly Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Pine Valley Recreation Area","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"River Bluffs Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Root River Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Sand Hill Recreation Area","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Sawtooth Bluff","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Springvale Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Belle Prairie Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Bend in the River Park (GRPC)","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Bertram Chain of Lakes","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Big Elk Lake County park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Big Falls Campground and Horse Camp","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Bluffs Traverse","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Cascade Lake Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Chester Woods Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Cohasset Tioga Recreation Area","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Collinwood Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Detroit Mountain Recreational Area","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Elk River Woodland Trails Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Garvin Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Granite Falls Memorial Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Hartley Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"He Mni Can - Barn Bluff","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Hole in the Mountain Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Irving & John Anderson County Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Jay C Hormel Nature Center","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Kensington Rune Stone Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Kraemer Lake Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Lac qui Parle County Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Lake Brophy County Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
