park_name,System,Implementing agency.x,Unit type,Core park.x,Season,Vehicle visits,season,year,vehicle_visits,yearly_total,park_system,Implementing agency.y,unit_type,Core park.y
Afton,Department of Natural Resources State Park,DNR,State Park,TRUE,Winter-2021,20400,Winter,2021,20400,131394,Department of Natural Resources State Park,DNR,State Park,TRUE
Afton,Department of Natural Resources State Park,DNR,State Park,TRUE,Winter-2022,1436,Winter,2022,1436,1436,Department of Natural Resources State Park,DNR,State Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Fall-2018,15138,Fall,2018,15138,83940,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Fall-2019,17143,Fall,2019,17143,92591,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Fall-2020,25815,Fall,2020,25815,131213,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Fall-2021,27390,Fall,2021,27390,129131,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Spring-2018,20732,Spring,2018,20732,83940,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Spring-2019,22703,Spring,2019,22703,92591,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Spring-2020,28764,Spring,2020,28764,131213,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Spring-2021,36864,Spring,2021,36864,129131,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Summer-2018,43739,Summer,2018,43739,83940,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Summer-2019,47637,Summer,2019,47637,92591,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Summer-2020,71346,Summer,2020,71346,131213,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Summer-2021,54119,Summer,2021,54119,129131,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Winter-2018,4331,Winter,2018,4331,83940,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Winter-2019,5108,Winter,2019,5108,92591,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Winter-2020,5288,Winter,2020,5288,131213,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Winter-2021,10758,Winter,2021,10758,129131,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Alexander Ramsey Park,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE,Winter-2022,1856,Winter,2022,1856,1856,Greater Minnesota Regional Parks & Trails,Greater MN,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Fall-2018,5414,Fall,2018,5414,24412,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Fall-2019,7273,Fall,2019,7273,33180,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Fall-2020,10587,Fall,2020,10587,42806,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Fall-2021,7544,Fall,2021,7544,39271,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Spring-2018,3782,Spring,2018,3782,24412,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Spring-2019,6432,Spring,2019,6432,33180,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Spring-2020,9953,Spring,2020,9953,42806,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Spring-2021,11404,Spring,2021,11404,39271,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Summer-2018,13523,Summer,2018,13523,24412,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Summer-2019,17285,Summer,2019,17285,33180,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Summer-2020,19308,Summer,2020,19308,42806,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Summer-2021,14924,Summer,2021,14924,39271,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Winter-2018,1693,Winter,2018,1693,24412,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Winter-2019,2190,Winter,2019,2190,33180,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Winter-2020,2958,Winter,2020,2958,42806,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Winter-2021,5399,Winter,2021,5399,39271,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Anoka Co Riverfront,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE,Winter-2022,303,Winter,2022,303,303,Metropolitan Regional Park System,Anoka County Parks and Recreation,Regional Park,TRUE
Appleton OHV Park,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE,Fall-2018,6351,Fall,2018,6351,21811,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE
Appleton OHV Park,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE,Fall-2019,5111,Fall,2019,5111,22292,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE
Appleton OHV Park,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE,Fall-2020,8127,Fall,2020,8127,42075,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE
Appleton OHV Park,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE,Fall-2021,5064,Fall,2021,5064,29533,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE
Appleton OHV Park,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE,Spring-2018,4033,Spring,2018,4033,21811,Eligible for Greater Minnesota Designation,Eligible Greater MN,Eligible Regional Park,FALSE
